plate_id_fk,full_path,plate_folder,fish_folder_name,roi_name,roi_anatomy_name,note
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250819_mem_mito/fish1_24hpf_roi8,aang,fish1_24hpf_roi8,fish1_24hpf_roi8,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi1,aang,fish1_48hpf_roi1,fish1_48hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi1,aang,fish1_48hpf_roi1,fish1_48hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish1_48hpf_roi1,aang,fish1_48hpf_roi1,fish1_48hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250925_mem-mito/fish1_48hpf_roi1,aang,fish1_48hpf_roi1,fish1_48hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish1_48hpf_roi1,aang,fish1_48hpf_roi1,fish1_48hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251015_mem-histone/fish1_48hpf_roi1,aang,fish1_48hpf_roi1,fish1_48hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251022_mem-mito/fish1_48hpf_roi1,aang,fish1_48hpf_roi1,fish1_48hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251106_mem-mito/fish1_48hpf_roi1,aang,fish1_48hpf_roi1,fish1_48hpf_roi1,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi2,aang,fish1_48hpf_roi2,fish1_48hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250911_mem-mito/fish1_48hpf_roi2,aang,fish1_48hpf_roi2,fish1_48hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish1_48hpf_roi2,aang,fish1_48hpf_roi2,fish1_48hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250925_mem-mito/fish1_48hpf_roi2,aang,fish1_48hpf_roi2,fish1_48hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish1_48hpf_roi2,aang,fish1_48hpf_roi2,fish1_48hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251015_mem-histone/fish1_48hpf_roi2,aang,fish1_48hpf_roi2,fish1_48hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20251106_mem-mito/fish1_48hpf_roi2,aang,fish1_48hpf_roi2,fish1_48hpf_roi2,,
aang,/clusterfs/vast/abcabc/Aang_Foundation/20250805_lifeact_mem-halo/fish1_48hpf_roi3,aang,fish1_48hpf_roi3,fish1_48hpf_roi3,,
