clutch_code,clutch_date,mount_id,mom_genotype_text,dad_genotype_text,mom_genotype_code,dad_genotype_code,additional_plasmids_raw,additional_rnas_raw,additional_proteins_raw,additional_dyes_raw,imaged_locations_raw,data_location,notes
LG_CLUTCH_20250305_nan,2025-03-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B,nan,nan,"neuromast, skin, muscle, spinal_cord",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish7_48hpf,nan
LG_CLUTCH_20250305_nan,2025-03-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B,nan,nan,"spinal_cord, neuromast, skin, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish8_48hpf,nan
LG_CLUTCH_20250306_nan,2025-03-06,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B,nan,nan,"neuromast, skin, muscle",U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish9_48hpf,nan
LG_CLUTCH_20250306_nan,2025-03-06,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mYH:H2B,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250303_mem_histone\fish10_48hpf,nan
LG_CLUTCH_20250306_nan,2025-03-06,nan,casper/rnf,ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,,nan,"phiC, 2xLynk:mSG",nan,nan,"spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250306_skittle_mem-mSG\fish1_24hpf,nan
LG_CLUTCH_20250307_nan,2025-03-07,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),casper/rnf,,,nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, brain, skin, spinal_cord, muscle",U:\Data\20240911_Korra_Foundation\20250307_mem_histone\fish1_24hpf,nan
LG_CLUTCH_20250310_nan,2025-03-10,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,nan,nan,nan,nan,U:\Data\20240911_Korra_Foundation\20250310_mem,nan
LG_CLUTCH_20250311_nan,2025-03-11,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish1_24hpf,nan
LG_CLUTCH_20250311_nan,2025-03-11,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish2_24hpf,nan
LG_CLUTCH_20250312_nan,2025-03-12,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle, tail",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish3_48hpf,nan
LG_CLUTCH_20250312_nan,2025-03-12,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,ef1a:mTFP1 and ef1a:mBeRFP,nan,nan,nan,nan,nan,nan
LG_CLUTCH_20250312_nan,2025-03-12,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,ef1a:mTFP1 and ef1a:mBeRFP,nan,nan,nan,nan,nan,nan
LG_CLUTCH_20250312_nan,2025-03-12,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, muscle, skin",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish4_72hpf,nan
LG_CLUTCH_20250312_nan,2025-03-12,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,,nan,mScarlet3-S2:H2B,nan,nan,"spinal_cord, skin, muscle",U:\Data\20240911_Korra_Foundation\20250311_mem_histone\fish5_72hpf,nan
LG_CLUTCH_20250313_nan,2025-03-13,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,,nan,phiC,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish1_24hpf,nan
LG_CLUTCH_20250313_nan,2025-03-13,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<cryaa:mSc>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 309),,,nan,phiC,nan,nan,brain,U:\Data\20240911_Korra_Foundation\20250313_mSG_skittles\fish2_24hpf,nan
