plate_code,slot_code,legacy_fish_label,fish_code,imaging_nickname,timepoint,notes
korra,fish2_48hpf_roi1-2,fish2_48hpf_roi1-2,,,,
korra,fish2_48hpf_roi2,fish2_48hpf_roi2,,,,
korra,fish2_48hpf_roi3,fish2_48hpf_roi3,,,,
korra,fish2_48hpf_roi4,fish2_48hpf_roi4,,,,
korra,fish2_48hpf_roi5,fish2_48hpf_roi5,,,,
korra,fish2_72hpf_roi1,fish2_72hpf_roi1,,,,
korra,fish2_72hpf_roi2,fish2_72hpf_roi2,,,,
korra,fish2_72hpf_roi3,fish2_72hpf_roi3,,,,
korra,fish2_96hpf_roi1,fish2_96hpf_roi1,,,,
korra,fish2_96hpf_roi2,fish2_96hpf_roi2,,,,
korra,fish2_roi1,fish2_roi1,,,,
korra,fish2_roi12,fish2_roi12,,,,
korra,fish2_roi1_1,fish2_roi1_1,,,,
korra,fish2_roi2,fish2_roi2,,,,
korra,fish3,fish3,,,,
korra,fish3_24hpf_mem_mito_msc3_er_halo,fish3_24hpf_mem_mito_msc3_er_halo,,,,
korra,fish3_24hpf_roi1,fish3_24hpf_roi1,,,,
korra,fish3_24hpf_roi1_brain,fish3_24hpf_roi1_brain,,,,
korra,fish3_24hpf_roi2,fish3_24hpf_roi2,,,,
korra,fish3_48hpf,fish3_48hpf,,,,
korra,fish3_48hpf_roi1,fish3_48hpf_roi1,,,,
korra,fish3_48hpf_roi1_test,fish3_48hpf_roi1_test,,,,
korra,fish3_48hpf_roi2,fish3_48hpf_roi2,,,,
korra,fish3_48hpf_roi2_test,fish3_48hpf_roi2_test,,,,
korra,fish3_48hpf_roi3,fish3_48hpf_roi3,,,,
korra,fish3_48hpf_roi4,fish3_48hpf_roi4,,,,
korra,fish3_72hpf_roi1,fish3_72hpf_roi1,,,,
korra,fish3_72hpf_roi2,fish3_72hpf_roi2,,,,
korra,fish3_72hpf_roi3,fish3_72hpf_roi3,,,,
korra,fish3_72hpf_roi4,fish3_72hpf_roi4,,,,
korra,fish3_72hpf_roi5,fish3_72hpf_roi5,,,,
korra,fish3_96hpf_roi1,fish3_96hpf_roi1,,,,
korra,fish3_96hpf_roi2,fish3_96hpf_roi2,,,,
korra,fish3_96hpf_roi3,fish3_96hpf_roi3,,,,
korra,fish3_mem-halo_24hpf,fish3_mem-halo_24hpf,,,,
korra,fish3_roi1,fish3_roi1,,,,
korra,fish3_roi12,fish3_roi12,,,,
korra,fish3_roi2,fish3_roi2,,,,
korra,fish3_roi3,fish3_roi3,,,,
korra,fish4,fish4,,,,
korra,fish4_24hpf_mem_mito_msc3_er_halo,fish4_24hpf_mem_mito_msc3_er_halo,,,,
korra,fish4_24hpf_roi1,fish4_24hpf_roi1,,,,
korra,fish4_24hpf_roi1_brain,fish4_24hpf_roi1_brain,,,,
korra,fish4_24hpf_roi2,fish4_24hpf_roi2,,,,
korra,fish4_24hpf_roi3,fish4_24hpf_roi3,,,,
korra,fish4_48hpf_roi1,fish4_48hpf_roi1,,,,
korra,fish4_48hpf_roi2,fish4_48hpf_roi2,,,,
korra,fish4_mem-halo_48hpf,fish4_mem-halo_48hpf,,,,
korra,fish4_roi1,fish4_roi1,,,,
korra,fish4_roi2,fish4_roi2,,,,
korra,fish4_roi3,fish4_roi3,,,,
korra,fish4_roi4,fish4_roi4,,,,
korra,fish5,fish5,,,,
korra,fish5_24hpf_roi1,fish5_24hpf_roi1,,,,
korra,fish5_24hpf_roi2,fish5_24hpf_roi2,,,,
korra,fish5_48hpf_mem_mito_halo_er_msc2,fish5_48hpf_mem_mito_halo_er_msc2,,,,
korra,fish5_48hpf_roi2,fish5_48hpf_roi2,,,,
korra,fish5_roi1,fish5_roi1,,,,
korra,fish5_roi1-1,fish5_roi1-1,,,,
korra,fish5_roi2,fish5_roi2,,,,
korra,fish5_roi3,fish5_roi3,,,,
korra,fish6,fish6,,,,
korra,fish6_48hpf_mem_mito_halo_er_msc2,fish6_48hpf_mem_mito_halo_er_msc2,,,,
korra,fish6_48hpf_roi1,fish6_48hpf_roi1,,,,
korra,fish6_48hpf_roi2,fish6_48hpf_roi2,,,,
korra,fish6_roi1,fish6_roi1,,,,
korra,fish6_roi2,fish6_roi2,,,,
korra,fish6_roi3,fish6_roi3,,,,
korra,fish7,fish7,,,,
korra,fish7_48hpf_mem_mito_halo_er_msc2,fish7_48hpf_mem_mito_halo_er_msc2,,,,
