clutch_code,parent_female,parent_male,date_born,roi_count,legacy_clutch_group
LCL-0016,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-09-24,16,casper/rnf|ef1a:2xLynk:tdmChilada (F1 of allele 315)|2025-09-24
LCL-0017,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-10-22,3,casper/rnf|ef1a:2xLynk:tdmChilada (F1 of allele 315)|2025-10-22
LCL-0018,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),2025-05-30,1,casper/rnf|ef1a:2xLynk:tdmSG(J) (F2 of allele 302)|2025-05-30
LCL-0019,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),2025-09-23,25,casper/rnf|from Swinburne lab - tank ID 344 (F1 of allele 45385)|2025-09-23
LCL-0020,casper/rnf,mem:tdmChilada,2025-08-18,33,casper/rnf|mem:tdmChilada|2025-08-18
LCL-0021,casper/rnf,mem:tdmChilada,2025-08-20,15,casper/rnf|mem:tdmChilada|2025-08-20
LCL-0022,casper/rnf,mem:tdmChilada,2025-08-25,8,casper/rnf|mem:tdmChilada|2025-08-25
LCL-0023,casper/rnf,mem:tdmChilada,2025-09-02,10,casper/rnf|mem:tdmChilada|2025-09-02
LCL-0024,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),2025-10-27,10,casper/rnf|memrane tdmScarlet3S2 (F1 of allele 325)|2025-10-27
LCL-0025,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),2025-10-28,1,casper/rnf|memrane tdmScarlet3S2 (F1 of allele 325)|2025-10-28
LCL-0026,casper/rnf,memrane tdmScarlet3S2 (F1 of allele 325),2025-10-29,1,casper/rnf|memrane tdmScarlet3S2 (F1 of allele 325)|2025-10-29
LCL-0027,casper/rnf,tdmScarlet3S2 (F1 of allele 325),2025-09-19,17,casper/rnf|tdmScarlet3S2 (F1 of allele 325)|2025-09-19
LCL-0028,casper/rnf,tdmScarlet3S2 (F1 of allele 325),2025-10-20,7,casper/rnf|tdmScarlet3S2 (F1 of allele 325)|2025-10-20
LCL-0029,casper,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-11-04,35,casper|ef1a:2xLynk:tdmChilada (F1 of allele 315)|2025-11-04
LCL-0030,casper,memrane tdmScarlet3S2 (F1 of allele 325),2025-11-08,13,casper|memrane tdmScarlet3S2 (F1 of allele 325)|2025-11-08
LCL-0031,casper,memrane tdmScarlet3S2 (F1 of allele 325),2025-11-10,9,casper|memrane tdmScarlet3S2 (F1 of allele 325)|2025-11-10
LCL-0032,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-08,13,ef1a:2xLynk:tdmChilada (F1 of allele 315)|casper/rnf|2025-10-08
LCL-0033,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-09,1,ef1a:2xLynk:tdmChilada (F1 of allele 315)|casper/rnf|2025-10-09
LCL-0034,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,2025-10-13,1,ef1a:2xLynk:tdmChilada (F1 of allele 315)|casper/rnf|2025-10-13
