date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,run_key,mount_key,date_mount,date_mount_yyyymmdd,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
20250715_mem_organelle,fish1_mem_sg_mito_msc3,roi1,roi1,384,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish1_mem_sg_mito_msc3/roi1,korra,Korra_Foundation/20250715_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,41,20250404-plate1-slot1-roi41
20250715_mem_organelle,fish3_24hpf_mem_mito_msc3_er_halo,roi1,roi1,960,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish3_24hpf_mem_mito_msc3_er_halo/roi1,korra,Korra_Foundation/20250715_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,42,20250404-plate1-slot1-roi42
20250715_mem_organelle,fish4_24hpf_mem_mito_msc3_er_halo,roi1,roi1,960,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish4_24hpf_mem_mito_msc3_er_halo/roi1,korra,Korra_Foundation/20250715_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,43,20250404-plate1-slot1-roi43
20250715_mem_organelle,fish5_48hpf_mem_mito_halo_er_msc2,roi1,roi1,1329,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish5_48hpf_mem_mito_halo_er_msc2/roi1,korra,Korra_Foundation/20250715_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,44,20250404-plate1-slot1-roi44
20250715_mem_organelle,fish6_48hpf_mem_mito_halo_er_msc2,roi1,roi1,1300,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish6_48hpf_mem_mito_halo_er_msc2/roi1,korra,Korra_Foundation/20250715_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,45,20250404-plate1-slot1-roi45
20250715_mem_organelle,fish7_48hpf_mem_mito_halo_er_msc2,roi1,roi1,1300,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish7_48hpf_mem_mito_halo_er_msc2/roi1,korra,Korra_Foundation/20250715_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,46,20250404-plate1-slot1-roi46
20250715_mem_organelle,fish8_72hpf_mem_mito_msc3_er_halo,roi1,roi1,1300,/clusterfs/vast/abcabc/Korra_Foundation/20250715_mem_organelle/fish8_72hpf_mem_mito_msc3_er_halo/roi1,korra,Korra_Foundation/20250715_mem_organelle,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,47,20250404-plate1-slot1-roi47
20250724_mem-mchilada_er-mSG,fish1_24hpf,roi1,roi1,97,/clusterfs/vast/abcabc/Korra_Foundation/20250724_mem-mchilada_er-mSG/fish1_24hpf/roi1,korra,Korra_Foundation/20250724_mem-mchilada_er-mSG,roi1,2025-04-04,20250404.0,20250404-plate1,20250404-plate1-slot1,48,20250404-plate1-slot1-roi48
20250609_mem-histone,fish11_72hpf_roi1,fish11_72hpf_roi1,fish11_72hpf_roi1,8168,/clusterfs/vast/abcabc/Korra_Foundation/20250609_mem-histone/fish11_72hpf_roi1,korra,Korra_Foundation/20250609_mem-histone,fish11_72hpf_roi1,2025-06-09,20250609.0,20250609-plate1,20250609-plate1-slot1,1,20250609-plate1-slot1-roi01
20250912_mem-mito,fish3_72hpf_roi1,fish3_72hpf_roi1,fish3_72hpf_roi1,400,/clusterfs/vast/abcabc/Aang_Foundation/20250912_mem-mito/fish3_72hpf_roi1,aang,Aang_Foundation/20250912_mem-mito,fish3_72hpf_roi1,2025-08-04,20250804.0,20250804-plate1,20250804-plate1-slot1,1,20250804-plate1-slot1-roi01
20250915_mem-mito,fish3_72hpf_roi1,fish3_72hpf_roi1,fish3_72hpf_roi1,250,/clusterfs/vast/abcabc/Aang_Foundation/20250915_mem-mito/fish3_72hpf_roi1,aang,Aang_Foundation/20250915_mem-mito,fish3_72hpf_roi1,2025-08-04,20250804.0,20250804-plate1,20250804-plate1-slot1,2,20250804-plate1-slot1-roi02
20250918_mem-mito,fish3_72hpf_roi1,fish3_72hpf_roi1,fish3_72hpf_roi1,400,/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi1,aang,Aang_Foundation/20250918_mem-mito,fish3_72hpf_roi1,2025-08-04,20250804.0,20250804-plate1,20250804-plate1-slot1,3,20250804-plate1-slot1-roi03
20251020_mem-histone,fish3_72hpf_roi1,fish3_72hpf_roi1,fish3_72hpf_roi1,3072,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish3_72hpf_roi1,aang,Aang_Foundation/20251020_mem-histone,fish3_72hpf_roi1,2025-08-04,20250804.0,20250804-plate1,20250804-plate1-slot1,4,20250804-plate1-slot1-roi04
20250801_mem-PCNA,fish3_72hpf_roi1,fish3_72hpf_roi1,fish3_72hpf_roi1,6226,/clusterfs/vast/abcabc/Korra_Foundation/20250801_mem-PCNA/fish3_72hpf_roi1,korra,Korra_Foundation/20250801_mem-PCNA,fish3_72hpf_roi1,2025-08-04,20250804.0,20250804-plate1,20250804-plate1-slot1,5,20250804-plate1-slot1-roi05
20251016_mem-histone,fish3_72hpf_roi1,fish3_72hpf_roi1,fish3_72hpf_roi1,2880,/clusterfs/vast/abcabc/Korra_Foundation/20251016_mem-histone/fish3_72hpf_roi1,korra,Korra_Foundation/20251016_mem-histone,fish3_72hpf_roi1,2025-08-04,20250804.0,20250804-plate1,20250804-plate1-slot1,6,20250804-plate1-slot1-roi06
20251024_mem-histone,fish3_72hpf_roi1,fish3_72hpf_roi1,fish3_72hpf_roi1,2880,/clusterfs/vast/abcabc/Korra_Foundation/20251024_mem-histone/fish3_72hpf_roi1,korra,Korra_Foundation/20251024_mem-histone,fish3_72hpf_roi1,2025-08-04,20250804.0,20250804-plate1,20250804-plate1-slot1,7,20250804-plate1-slot1-roi07
20251027_mem-histone,fish3_72hpf_roi1,fish3_72hpf_roi1,fish3_72hpf_roi1,2880,/clusterfs/vast/abcabc/Korra_Foundation/20251027_mem-histone/fish3_72hpf_roi1,korra,Korra_Foundation/20251027_mem-histone,fish3_72hpf_roi1,2025-08-04,20250804.0,20250804-plate1,20250804-plate1-slot1,8,20250804-plate1-slot1-roi08
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi1,er_roi1,er_roi1,74,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1,aang,Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi1,,,,,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi2,er_roi2,er_roi2,74,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2,aang,Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi2,,,,,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi3,er_roi3,er_roi3,80,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3,aang,Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi3,,,,,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,mito_roi1,mito_roi1,mito_roi1,50,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1,aang,Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM,mito_roi1,,,,,,
20250721_72hpf_mrna_mSG_organelle_LLS-SIM,mito_roi2,mito_roi2,mito_roi2,80,/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2,aang,Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM,mito_roi2,,,,,,
