clutch_code,roi_code,plate_id_filled,slot_id_filled,date_born,parent_female,parent_male,roi_dir
LCL-0007,20250529-plate1-slot2-roi03,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish11_roi1_eye_2
LCL-0007,20250529-plate1-slot2-roi04,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish12_roi1
LCL-0007,20250529-plate1-slot2-roi05,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish13_roi1
LCL-0007,20250529-plate1-slot2-roi06,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish14_roi1
LCL-0007,20250529-plate1-slot2-roi07,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish14_roi2
LCL-0007,20250529-plate1-slot2-roi08,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish14_roi3
LCL-0007,20250529-plate1-slot2-roi09,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish15_roi1
LCL-0007,20250529-plate1-slot2-roi10,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish1_roi1
LCL-0007,20250529-plate1-slot2-roi11,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish1_roi2
LCL-0007,20250529-plate1-slot2-roi12,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish1_roi3
LCL-0007,20250529-plate1-slot2-roi13,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish2_roi1
LCL-0007,20250529-plate1-slot2-roi14,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish2_roi2
LCL-0007,20250529-plate1-slot2-roi15,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish4_roi1
LCL-0007,20250529-plate1-slot2-roi16,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish5_roi1
LCL-0007,20250529-plate1-slot2-roi17,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish5_roi2
LCL-0007,20250529-plate1-slot2-roi18,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish6_roi1
LCL-0007,20250529-plate1-slot2-roi19,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish7_roi1
LCL-0007,20250529-plate1-slot2-roi20,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish8_roi1
LCL-0007,20250529-plate1-slot2-roi21,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish9_roi1
LCL-0007,20250529-plate1-slot2-roi22,20250529-plate1,20250529-plate1-slot2,2025-05-28,Jim (F2 of allele 316),Ben (F2 of allele 310),/clusterfs/vast/abcabc/Korra_Foundation/20250529_skittlez/fish9_roi2
LCL-0055,20250530-plate1-slot1-roi01,20250530-plate1,20250530-plate1-slot1,2025-05-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250530_mem-histone/fish1_roi1
LCL-0055,20250530-plate1-slot1-roi02,20250530-plate1,20250530-plate1-slot1,2025-05-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250530_mem-histone/fish1_roi1-2
LCL-0055,20250530-plate1-slot1-roi03,20250530-plate1,20250530-plate1-slot1,2025-05-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250530_mem-histone/fish2_roi1
LCL-0018,20250602-plate1-slot1-roi01,20250602-plate1,20250602-plate1-slot1,2025-05-30,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),/clusterfs/vast/abcabc/Korra_Foundation/20250602_mem/fish2_roi1
LCL-0011,20250603-plate1-slot1-roi01,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish10_roi1
LCL-0011,20250603-plate1-slot1-roi02,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish11_roi1
LCL-0011,20250603-plate1-slot1-roi03,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish12_roi1
LCL-0011,20250603-plate1-slot1-roi04,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish13_roi1
LCL-0011,20250603-plate1-slot1-roi05,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish14_roi1
LCL-0011,20250603-plate1-slot1-roi06,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish15_roi1
LCL-0011,20250603-plate1-slot1-roi07,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish16_roi1
LCL-0011,20250603-plate1-slot1-roi08,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish1_roi1_1
LCL-0011,20250603-plate1-slot1-roi09,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish2_roi1
LCL-0011,20250603-plate1-slot1-roi10,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish2_roi1_1
LCL-0011,20250603-plate1-slot1-roi11,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish3_roi1
LCL-0011,20250603-plate1-slot1-roi12,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish4_roi1
LCL-0011,20250603-plate1-slot1-roi13,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish6_roi1
LCL-0011,20250603-plate1-slot1-roi14,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish7_roi1
LCL-0011,20250603-plate1-slot1-roi15,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish8_roi1
LCL-0011,20250603-plate1-slot1-roi16,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish9_roi1
LCL-0011,20250603-plate1-slot1-roi17,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish9_roi2
LCL-0011,20250603-plate1-slot1-roi18,20250603-plate1,20250603-plate1-slot1,2025-06-02,Liam (F2 of allele 321),Chris (F1 of allele 317),/clusterfs/vast/abcabc/Korra_Foundation/20250603_skittlez/fish9_roi3
LCL-0004,20250605-plate1-slot1-roi01,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish10_roi1
LCL-0004,20250605-plate1-slot1-roi02,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish10_roi2
LCL-0004,20250605-plate1-slot1-roi03,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish11_roi1
LCL-0004,20250605-plate1-slot1-roi04,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish11_roi2
LCL-0004,20250605-plate1-slot1-roi05,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish12_roi1
LCL-0004,20250605-plate1-slot1-roi06,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish13_roi1
LCL-0004,20250605-plate1-slot1-roi07,20250605-plate1,20250605-plate1-slot1,2025-06-04,Dennis (F2 of allele 318),Abe (F2 of allele 309),/clusterfs/vast/abcabc/Korra_Foundation/20250605_skittlez/fish13_roi2
