roi_dir,date_experiment,fish,roi_name,date_born,parent_female_final,parent_male_final,genotype_base_codes,genotype_allele_codes,genotype_pretty_final,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,ZF female genotype,ZF male genotype,Data location
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish5/roi1_tailbud,20250520_mem_histone,fish5,roi1_tailbud,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,"pDQM005:301,pDQM005:301",ef1a:2xLynk:tdmSG(J) (F2 of allele 301) × ef1a:2xLynk:tdmSG(J) (F2 of allele 301),tdmSG,,,pDQM117,mScarlet3S2,H2B,"mScarlet3S2,tdmSG",,mScarlet3-S2:H2B,,,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),X:\abcabc\Korra_Foundation\20250520_mem_histone\fish2
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi1,20250521_skittles_no-membrane,fish2,roi1,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309",Dennis (F2 of allele 318) × Abe (F2 of allele 309),"Electra2,mCitrine,mKOK,mKate2,mTFP1",,,nan,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,phiC-NLS,,,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi2,20250521_skittles_no-membrane,fish2,roi2,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309",Dennis (F2 of allele 318) × Abe (F2 of allele 309),"Electra2,mCitrine,mKOK,mKate2,mTFP1",,,nan,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,phiC-NLS,,,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish3/roi1,20250521_skittles_no-membrane,fish3,roi1,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309",Dennis (F2 of allele 318) × Abe (F2 of allele 309),"Electra2,mCitrine,mKOK,mKate2,mTFP1",,,nan,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,phiC-NLS,,,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi1,20250521_skittles_no-membrane,fish4,roi1,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309",Dennis (F2 of allele 318) × Abe (F2 of allele 309),"Electra2,mCitrine,mKOK,mKate2,mTFP1",,,nan,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,phiC-NLS,,,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi2,20250521_skittles_no-membrane,fish4,roi2,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),"pDQM034,pDQM036","pDQM036:318,pDQM034:309",Dennis (F2 of allele 318) × Abe (F2 of allele 309),"Electra2,mCitrine,mKOK,mKate2,mTFP1",,,nan,,,"Electra2,mCitrine,mKOK,mKate2,mTFP1",,phiC-NLS,,,2025-05-20,Dennis (F2 of allele 318),Abe (F2 of allele 309),X:\abcabc\Korra_Foundation\20250521_skittles_no-membrane
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi1,20250522_skittlez,fish1,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi2,20250522_skittlez,fish1,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi1,20250522_skittlez,fish2,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi2,20250522_skittlez,fish2,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi1,20250522_skittlez,fish3,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi2,20250522_skittlez,fish3,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi3,20250522_skittlez,fish3,roi3,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi1,20250522_skittlez,fish4,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi2,20250522_skittlez,fish4,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish5/roi1,20250522_skittlez,fish5,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi1,20250522_skittlez,fish6,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish6/roi2,20250522_skittlez,fish6,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi1,20250522_skittlez,fish7,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi2,20250522_skittlez,fish7,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish7/roi3,20250522_skittlez,fish7,roi3,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi1,20250522_skittlez,fish8,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi2,20250522_skittlez,fish8,roi2,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish8/roi3,20250522_skittlez,fish8,roi3,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish9/roi1,20250522_skittlez,fish9,roi1,2025-05-21,,,,,,,,,,,,,,,,,2025-05-21,,,X:\abcabc\Korra_Foundation\20250522_skittlez
/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish1/roi1,20250523_mem_histone,fish1,roi1,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",ef1a:2xLynk:tdmSG(J) (F2 of allele 302) × ef1a:2xLynk:tdmSG(J) (F2 of allele 302),tdmSG,,,pDQM117,mScarlet3S2,H2B,"mScarlet3S2,tdmSG",,mScarlet3-S2:H2B,,,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),X:\abcabc\Korra_Foundation\20250523_mem_histone\fish5
/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish2/roi1,20250523_mem_histone,fish2,roi1,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",ef1a:2xLynk:tdmSG(J) (F2 of allele 302) × ef1a:2xLynk:tdmSG(J) (F2 of allele 302),tdmSG,,,pDQM117,mScarlet3S2,H2B,"mScarlet3S2,tdmSG",,mScarlet3-S2:H2B,,,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),X:\abcabc\Korra_Foundation\20250523_mem_histone\fish5
/clusterfs/vast/abcabc/Korra_Foundation/20250523_mem_histone/fish3/roi1,20250523_mem_histone,fish3,roi1,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),pDQM005,"pDQM005:302,pDQM005:302",ef1a:2xLynk:tdmSG(J) (F2 of allele 302) × ef1a:2xLynk:tdmSG(J) (F2 of allele 302),tdmSG,,,pDQM117,mScarlet3S2,H2B,"mScarlet3S2,tdmSG",,mScarlet3-S2:H2B,,,,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),X:\abcabc\Korra_Foundation\20250523_mem_histone\fish5
