plasmid_code,plasmid_name,plasmid_nickname,resistance,plasmid_notes,used_for_injection_plasmid,used_for_injection_rna,used_for_injection_crispr,n_fluors_per_plasmid,fluor_code,tag_code,tag_pos
pDQM053,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 2 - pIGLET,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM054,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 3 - pIGLET,FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM054,hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 3 - pIGLET,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM055,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 3 (truncated SV40),FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM055,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 3 (truncated SV40),FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
pDQM056,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 4 (truncated SV40),FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM056,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 4 (truncated SV40),FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
pDQM057,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,Clone 4,FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM057,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-pcna (pCM268),Amp,Clone 4,FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
pDQM058,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 1,FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM058,exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),exorh:gfp-hsp:dhb-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 1,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM059,skittles3.1-4FP (exorh:GFP),skittles3.1-4FP (exorh:GFP),Amp,Clone 3,FALSE,FALSE,FALSE,1,gfp,,
pDQM060,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 3,FALSE,FALSE,FALSE,2,tdmSG,2xLynk,N
pDQM060,ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),ef1a:2xLynk-tdmSG-tPT2A-tdmChilada-h2b (pCM268),Amp,Clone 3,FALSE,FALSE,FALSE,2,tdmChilada,h2b,C
pDQM061,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 2,FALSE,FALSE,FALSE,2,tdmSG,dhb,N
pDQM061,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 2,FALSE,FALSE,FALSE,2,tdmChilada,pcna,C
pDQM062,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,AAV-dhb-tdmSG-tPT2A-tdmChilada-pcna,Amp,Clone 3,FALSE,FALSE,FALSE,2,tdmSG,dhb,N
