date_experiment,fish_label,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,experiment_name,mount_row_index_scored,date_mount,mount_id,zf_female_genotype,zf_male_genotype,additional_plasmids_injected,additional_mrnas_injected,additonal_dye_and_chemicals,data_location,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,additional_plasmids_plasmid_base_code,additional_mrnas_plasmid_base_code
20250513_skittles,fish6,roi3,roi3,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi3,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish6,roi4,roi4,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi4,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish7,roi1_ear_brain,roi1_ear_brain,72,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi1_ear_brain,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish7,roi2_brain,roi2_brain,36,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi2_brain,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish8,roi1,roi1,48,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish8/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250513_skittles,fish9,roi1,roi1,180,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish9/roi1,korra,skittles,159.0,5/13/25,,,,,phiC-NLS,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,,,
20250520_mem_histone,fish2,roi1,roi1,2048,/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,korra,mem_histone,154.0,5/20/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,X:\abcabc\Korra_Foundation\20250520_mem_histone\fish4,pDQM005,301,pDQM005,301,,pDQM117
20250520_mem_histone,fish4,roi1_tailbud,roi1_tailbud,266,/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud,korra,mem_histone,154.0,5/20/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,X:\abcabc\Korra_Foundation\20250520_mem_histone\fish4,pDQM005,301,pDQM005,301,,pDQM117
20250520_mem_histone,fish4,roi1_tailbud_2,roi1_tailbud_2,1026,/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud_2,korra,mem_histone,154.0,5/20/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,X:\abcabc\Korra_Foundation\20250520_mem_histone\fish4,pDQM005,301,pDQM005,301,,pDQM117
20250520_mem_histone,fish5,roi1_tailbud,roi1_tailbud,3040,/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish5/roi1_tailbud,korra,mem_histone,154.0,5/20/25,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),,mScarlet3-S2:H2B,,X:\abcabc\Korra_Foundation\20250520_mem_histone\fish4,pDQM005,301,pDQM005,301,,pDQM117
