plasmid_code,nickname,resistance,supports_invitro_rna,notes,fusion_name
pDQM154,ef1a-extened::tdmScarlet3-S2:PCNA-tol2,Amp,FALSE,clone 1 + 2,tdmScarlet3
pDQM155,ef1a-extended:DHB:tdmSG-tol2,Amp,FALSE,clone 2 + 4,DHB::tdmSG
pDQM156,A2UCOE-loxP-ef1a-extended-2xLynk:tdmSc3S2-SV40-lox2272-attB-tol2,Amp,FALSE,,2xLynk::tdmSc3S2
pDQM157,A2UCOE-FRT-ef1a-extended-2xLynk:tdmSc3S2-SV40-FRT3-attB-tol2,Amp,FALSE,,2xLynk::tdmSc3S2
pDQM158,A2UCOE-ef1a-extened::tdmScarlet3-S2:PCNA-tol2,Amp,FALSE,TBD,tdmScarlet3
pDQM159,A2UCOE-ef1a-extended:DHB:tdmSG-tol2,Amp,FALSE,TBD,DHB::tdmSG
pDQM160,ef1a-extended-tdmScarlet3S2::GMN (endogenous),Amp,FALSE,clones 1 + 2,tdmScarlet3S2
pDQM161,loxP-ubb-mSG-h2b-lox2272,Amp,FALSE,,mSG::h2b
pDQM162,FRT3-ubb-mSG-h2b-FRT,Amp,FALSE,,mSG::h2b
pDQM163,SP6-SB100x,,FALSE,,
pDQM164,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),,FALSE,,2xLynk::mSG
pDQM165,exorH:mScarlet; hsp:phiC(iC)-NLS,,FALSE,,mScarlet
pDQM166,exorH:mScarlet; hsp:phiC(iC)-NLS-tPT2A-2xLynk-mSG-ubb,,FALSE,,2xLynk::mSG
pDQM167,SB-LTR-loxP-ubb-mSG-h2b-SV40-SB-lox2272-LTR,,FALSE,,mSG::h2b
pDQM168,SB-LTR-FRT-ubb-mSG-h2b-SV40-SB-FRT3-LTR,,FALSE,,mSG::h2b
pDQM169,pTwist-SP6-phiC-ERT2-new,,FALSE,,
MGCO-01,ef1a-2Xcox8A-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,2Xcox8A::mStayGold
MGCO-02,ef1a-2Xcox8A-linker-mChilada-SV40-attb-tol2,Amp,TRUE,,2Xcox8A::mChilada
MGCO-03,ef1a-2Xcox8A-linker-Halo-SV40-attb-tol2,Amp,TRUE,,2Xcox8A::Halo
MGCO-04,ef1a-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,Amp,TRUE,,mStayGold::sec61b
MGCO-05,ef1a-linker-mChilada-C4linker-sec61b-SV40-attb-tol2,Amp,TRUE,,mChilada::sec61b
MGCO-06,ef1a-linker-Halo-sec61b-SV40-attb-tol2,Amp,TRUE,,Halo::sec61b
MGCO-07,ef1a-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-08,ef1a-linker-mChilada-C4linker-GM130-SV40-attb-tol2,Amp,TRUE,,mChilada
MGCO-09,ef1a-linker-Halo-GM130-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-10,ef1a-TGN46-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-11,ef1a-TGN46-linker-mChilada-SV40-attb-tol2,Amp,TRUE,,mChilada
MGCO-12,ef1a-TGN46-linker-Halo-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-13,ef1a-linker-mStayGold-C4linker-rab5a-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-14,ef1a-linker-Halo-rab5a-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-15,ef1a-LAMP1-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,LAMP1::mStayGold
MGCO-16,ef1a-LAMP1-linker-mChilada-SV40-attb-tol2,Amp,TRUE,,LAMP1::mChilada
MGCO-17,ef1a-Arl13b-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-18,ef1a-Arl13b-linker-Halo-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-19,ef1a-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-20,ef1a-linker-Halo-linker-alphatubulin-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-21,ef1a-vimentin-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-22,ef1a-vimentin-linker-Halo-linker-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-23,ef1a-lifeact-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,lifeact::mStayGold
MGCO-24,ef1a-lifeact-linker-Halo-linker-SV40-attb-tol2,Amp,TRUE,,lifeact::Halo
MGCO-25,ef1a-linker-mStayGold-C4linker-MYH10-SV40-attb-tol2,Amp,TRUE,,mStayGold|mYH
MGCO-26,ef1a-linker-mChilada-C4linker-MYH10-SV40-attb-tol2,Amp,TRUE,,mChilada|mYH
MGCO-27,ef1a-extended-linker-mStayGold-C4linker-sec61b-SV40-attb-tol2,Amp,TRUE,,mStayGold::sec61b
MGCO-28,ef1a-extended-2Xcox8A-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,2Xcox8A::mStayGold
MGCO-29,ef1a-extended-linker-mStayGold-C4linker-GM130-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-30,ef1a-extended-TGN46-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-31,ef1a-extended-LAMP1-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,LAMP1::mStayGold
MGCO-32,ef1a-extended-linker-mStayGold-C4linker-alphatubulin-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-33,ef1a-extended-vimentin-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-34,ef1a-extended-lifeact-linker-mStayGold-SV40-attb-tol2,Amp,TRUE,,lifeact::mStayGold
MGCO-35,ef1a-extended-2Xcox8A-linker-mScarlet3S2-SV40-attb-tol2,Amp,TRUE,,2Xcox8A::mScarlet3S2
MGCO-36,ef1a-extended-linker-mScarlet3S2-sec61b-SV40-attb-tol2,Amp,TRUE,,mScarlet3S2::sec61b
MGCO-37,ef1a-extended-LAMP1-linker-mScarlet3S2-SV40-attb-tol2,Amp,TRUE,,LAMP1::mScarlet3S2
MGCO-38,ef1a-extended-linker-mStayGold-C4linker-MyosinII-SV40-attb-tol2,Amp,TRUE,,mStayGold
MGCO-39,ef1a-extended-2Xcox8A-linker-Halo-SV40-attb-tol2,Amp,TRUE,,2Xcox8A::Halo
MGCO-40,ef1a-extended-linker-Halo-sec61b-SV40-attb-tol2,Amp,TRUE,,Halo::sec61b
MGCO-41,ef1a-extended-linker-mScarlet3S2-GM130-SV40-attb-tol2,Amp,TRUE,,mScarlet3S2
MGCO-42,ef1a-extended-linker-Halo-GM130-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-43,ef1a-extended-TGN46-linker-mScarlet3S2-SV40-attb-tol2,Amp,TRUE,,mScarlet3S2
MGCO-44,ef1a-extended-TGN46-linker-Halo-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-45,ef1a-extended-linker-Halo-linker-alphatubulin-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-46,ef1a-extended-vimentin-linker-Halo-linker-SV40-attb-tol2,Amp,TRUE,,Halo
MGCO-47,ef1a-extended-lifeact-linker-Halo-linker-SV40-attb-tol2,Amp,TRUE,,lifeact::Halo
MGCO-48,ef1a-extended-linker-mScarlet3S2-linker-MyosinII-SV40-attb-tol2,Amp,TRUE,,mScarlet3S2
