Data location,Date born,Date imaged,Date screened/Initial feedback,End of imaging time,Imaged Locations,Mounting Orientation,Start of imaging time,Time mounted,Time placed in scope,Unique Targets,Unique Targets with blanks,ZF female genotype,ZF male genotype,additional mRNAs injected,additional plasmids injected,additonal dye and chemicals,additonal proteins injected,dataset,date_experiment,date_mount,fish,genotype_allele_codes,genotype_base_codes,mount_id,parent_female,parent_male,roi_dir,roi_name,roi_rel,roi_tiffs,treatment_plasmid_base_codes,treatment_rna_base_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish2_48hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish2_48hpf_roi1,fish2_48hpf_roi1,fish2_48hpf_roi1,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish2_48hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish2_48hpf_roi2,fish2_48hpf_roi2,fish2_48hpf_roi2,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish2_48hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish2_48hpf_roi3,fish2_48hpf_roi3,fish2_48hpf_roi3,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish2_48hpf_roi4,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish2_48hpf_roi4,fish2_48hpf_roi4,fish2_48hpf_roi4,407,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish3_48hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish3_48hpf_roi1,fish3_48hpf_roi1,fish3_48hpf_roi1,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish3_48hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish3_48hpf_roi2,fish3_48hpf_roi2,fish3_48hpf_roi2,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish3_48hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish3_48hpf_roi3,fish3_48hpf_roi3,fish3_48hpf_roi3,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish3_48hpf_roi4,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish3_48hpf_roi4,fish3_48hpf_roi4,fish3_48hpf_roi4,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish_48hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish_48hpf_roi1,fish_48hpf_roi1,fish_48hpf_roi1,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish_48hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish_48hpf_roi2,fish_48hpf_roi2,fish_48hpf_roi2,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish_48hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish_48hpf_roi3,fish_48hpf_roi3,fish_48hpf_roi3,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20250926_mem-mito,,fish_48hpf_roi4,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20250926_mem-mito/fish_48hpf_roi4,fish_48hpf_roi4,fish_48hpf_roi4,600,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish1_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish1_24hpf_roi1,fish1_24hpf_roi1,fish1_24hpf_roi1,2340,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish1_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish1_24hpf_roi2,fish1_24hpf_roi2,fish1_24hpf_roi2,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish2_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish2_24hpf_roi1,fish2_24hpf_roi1,fish2_24hpf_roi1,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish2_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish2_24hpf_roi2,fish2_24hpf_roi2,fish2_24hpf_roi2,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish2_24hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish2_24hpf_roi3,fish2_24hpf_roi3,fish2_24hpf_roi3,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish4_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish4_24hpf_roi1,fish4_24hpf_roi1,fish4_24hpf_roi1,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish4_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish4_24hpf_roi2,fish4_24hpf_roi2,fish4_24hpf_roi2,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish5_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish5_24hpf_roi1,fish5_24hpf_roi1,fish5_24hpf_roi1,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish5_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish5_24hpf_roi2,fish5_24hpf_roi2,fish5_24hpf_roi2,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish5_24hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish5_24hpf_roi3,fish5_24hpf_roi3,fish5_24hpf_roi3,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251001_mem-histone,,fish5_24hpf_roi4,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish5_24hpf_roi4,fish5_24hpf_roi4,fish5_24hpf_roi4,1920,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish10_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi1,fish10_24hpf_roi1,fish10_24hpf_roi1,272,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish10_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi2,fish10_24hpf_roi2,fish10_24hpf_roi2,272,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish11_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi1,fish11_24hpf_roi1,fish11_24hpf_roi1,400,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish11_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi2,fish11_24hpf_roi2,fish11_24hpf_roi2,400,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish11_24hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi3,fish11_24hpf_roi3,fish11_24hpf_roi3,400,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish12_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi1,fish12_24hpf_roi1,fish12_24hpf_roi1,400,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish12_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi2,fish12_24hpf_roi2,fish12_24hpf_roi2,400,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish12_24hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi3,fish12_24hpf_roi3,fish12_24hpf_roi3,400,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish12_24hpf_roi4,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi4,fish12_24hpf_roi4,fish12_24hpf_roi4,400,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish1_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish1_24hpf_roi1,fish1_24hpf_roi1,fish1_24hpf_roi1,333,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish3_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish3_24hpf_roi1,fish3_24hpf_roi1,fish3_24hpf_roi1,277,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish3_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish3_24hpf_roi2,fish3_24hpf_roi2,fish3_24hpf_roi2,144,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish5_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi1,fish5_24hpf_roi1,fish5_24hpf_roi1,144,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish5_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi2,fish5_24hpf_roi2,fish5_24hpf_roi2,144,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish5_24hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi3,fish5_24hpf_roi3,fish5_24hpf_roi3,144,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish6_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi1,fish6_24hpf_roi1,fish6_24hpf_roi1,408,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish6_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi2,fish6_24hpf_roi2,fish6_24hpf_roi2,408,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish6_24hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi3,fish6_24hpf_roi3,fish6_24hpf_roi3,238,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish7_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish7_24hpf_roi1,fish7_24hpf_roi1,fish7_24hpf_roi1,272,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish7_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish7_24hpf_roi2,fish7_24hpf_roi2,fish7_24hpf_roi2,272,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish8_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish8_24hpf_roi1,fish8_24hpf_roi1,fish8_24hpf_roi1,272,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish8_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish8_24hpf_roi2,fish8_24hpf_roi2,fish8_24hpf_roi2,272,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish9_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish9_24hpf_roi1,fish9_24hpf_roi1,fish9_24hpf_roi1,408,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251002_mem_mito,,fish9_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish9_24hpf_roi2,fish9_24hpf_roi2,fish9_24hpf_roi2,408,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251003_mem_tester,,fish1_48hpf_xscan_roi1_brain,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi1_brain,fish1_48hpf_xscan_roi1_brain,fish1_48hpf_xscan_roi1_brain,31,,,,,,,,,,,membrane,
,,,,,,,,,,,,,,,,,,aang,20251003_mem_tester,,fish1_48hpf_xscan_roi2_spine_muscle,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi2_spine_muscle,fish1_48hpf_xscan_roi2_spine_muscle,fish1_48hpf_xscan_roi2_spine_muscle,20,,,,,,,,,,,membrane,
,,,,,,,,,,,,,,,,,,aang,20251003_mem_tester,,fish1_48hpf_xscan_roi3_spine_muscle_tail,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi3_spine_muscle_tail,fish1_48hpf_xscan_roi3_spine_muscle_tail,fish1_48hpf_xscan_roi3_spine_muscle_tail,20,,,,,,,,,,,membrane,
,,,,,,,,,,,,,,,,,,aang,20251003_mem_tester,,fish1_48hpf_xscan_roi4_spine_muscle_tail,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi4_spine_muscle_tail,fish1_48hpf_xscan_roi4_spine_muscle_tail,fish1_48hpf_xscan_roi4_spine_muscle_tail,20,,,,,,,,,,,membrane,
,,,,,,,,,,,,,,,,,,aang,20251003_mem_tester,,fish1_48hpf_xscan_roi5_spine_muscle_tail,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi5_spine_muscle_tail,fish1_48hpf_xscan_roi5_spine_muscle_tail,fish1_48hpf_xscan_roi5_spine_muscle_tail,20,,,,,,,,,,,membrane,
,,,,,,,,,,,,,,,,,,aang,20251003_mem_tester,,fish1_48hpf_xscan_roi6_spine_muscle_tail,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi6_spine_muscle_tail,fish1_48hpf_xscan_roi6_spine_muscle_tail,fish1_48hpf_xscan_roi6_spine_muscle_tail,20,,,,,,,,,,,membrane,
,,,,,,,,,,,,,,,,,,aang,20251003_mem_tester,,fish1_48hpf_xscan_roi7_spine_muscle_tail,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi7_spine_muscle_tail,fish1_48hpf_xscan_roi7_spine_muscle_tail,fish1_48hpf_xscan_roi7_spine_muscle_tail,20,,,,,,,,,,,membrane,
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish1_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi1,fish1_24hpf_roi1,fish1_24hpf_roi1,1280,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish1_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi2,fish1_24hpf_roi2,fish1_24hpf_roi2,1280,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish1_24hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi3,fish1_24hpf_roi3,fish1_24hpf_roi3,1280,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish1_24hpf_roi4,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi4,fish1_24hpf_roi4,fish1_24hpf_roi4,1280,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish3_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish3_24hpf_roi1,fish3_24hpf_roi1,fish3_24hpf_roi1,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish3_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish3_24hpf_roi2,fish3_24hpf_roi2,fish3_24hpf_roi2,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish4_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish4_24hpf_roi1,fish4_24hpf_roi1,fish4_24hpf_roi1,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish4_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish4_24hpf_roi2,fish4_24hpf_roi2,fish4_24hpf_roi2,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish4_24hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish4_24hpf_roi3,fish4_24hpf_roi3,fish4_24hpf_roi3,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish6_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish6_24hpf_roi1,fish6_24hpf_roi1,fish6_24hpf_roi1,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251006_mem_histone,,fish6_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish6_24hpf_roi2,fish6_24hpf_roi2,fish6_24hpf_roi2,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251007_mem_histone,,fish2_48hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi1,fish2_48hpf_roi1,fish2_48hpf_roi1,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251007_mem_histone,,fish2_48hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi2,fish2_48hpf_roi2,fish2_48hpf_roi2,46,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251007_mem_histone,,fish2_48hpf_roi2_test,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi2_test,fish2_48hpf_roi2_test,fish2_48hpf_roi2_test,70,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251007_mem_histone,,fish2_48hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi3,fish2_48hpf_roi3,fish2_48hpf_roi3,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251007_mem_histone,,fish2_48hpf_roi4,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi4,fish2_48hpf_roi4,fish2_48hpf_roi4,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251007_mem_histone,,fish2_48hpf_roi5,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi5,fish2_48hpf_roi5,fish2_48hpf_roi5,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251007_mem_histone,,fish3_48hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish3_48hpf_roi1,fish3_48hpf_roi1,fish3_48hpf_roi1,1024,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251009_mem-mito,,fish3_48hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi1,fish3_48hpf_roi1,fish3_48hpf_roi1,271,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251009_mem-mito,,fish3_48hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi2,fish3_48hpf_roi2,fish3_48hpf_roi2,408,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251009_mem-mito,,fish3_48hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi3,fish3_48hpf_roi3,fish3_48hpf_roi3,408,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251009_mem-mito,,fish3_48hpf_roi4,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251009_mem-mito/fish3_48hpf_roi4,fish3_48hpf_roi4,fish3_48hpf_roi4,408,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish1_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish1_24hpf_roi1,fish1_24hpf_roi1,fish1_24hpf_roi1,1024,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish1_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish1_24hpf_roi2,fish1_24hpf_roi2,fish1_24hpf_roi2,1024,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish2_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish2_24hpf_roi1,fish2_24hpf_roi1,fish2_24hpf_roi1,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish2_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish2_24hpf_roi2,fish2_24hpf_roi2,fish2_24hpf_roi2,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish3_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish3_24hpf_roi1,fish3_24hpf_roi1,fish3_24hpf_roi1,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish3_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish3_24hpf_roi2,fish3_24hpf_roi2,fish3_24hpf_roi2,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish4_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish4_24hpf_roi1,fish4_24hpf_roi1,fish4_24hpf_roi1,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish4_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish4_24hpf_roi2,fish4_24hpf_roi2,fish4_24hpf_roi2,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish5_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish5_24hpf_roi1,fish5_24hpf_roi1,fish5_24hpf_roi1,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish5_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish5_24hpf_roi2,fish5_24hpf_roi2,fish5_24hpf_roi2,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish6_24hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish6_24hpf_roi1,fish6_24hpf_roi1,fish6_24hpf_roi1,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251010_mem-mito,,fish6_24hpf_roi2,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251010_mem-mito/fish6_24hpf_roi2,fish6_24hpf_roi2,fish6_24hpf_roi2,4608,,,,,,,,,,,"membrane,mitochondria",
,,,,,,,,,,,,,,,,,,aang,20251013_mem-histone,,fish1_96hpf_roi1,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251013_mem-histone/fish1_96hpf_roi1,fish1_96hpf_roi1,fish1_96hpf_roi1,4608,,,,,,,,,,,"histone,membrane",
,,,,,,,,,,,,,,,,,,aang,20251013_mem-histone,,fish1_96hpf_roi3,,,,,,/clusterfs/vast/abcabc/Aang_Foundation/20251013_mem-histone/fish1_96hpf_roi3,fish1_96hpf_roi3,fish1_96hpf_roi3,4608,,,,,,,,,,,"histone,membrane",
