roi_dir,date_experiment,fish,roi_name,date_born,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,Date born,ZF female genotype,ZF male genotype,Data location
/clusterfs/vast/abcabc/Korra_Foundation/20250724_mem-mchilada_er-mSG/fish1_24hpf/roi1,20250724_mem-mchilada_er-mSG,fish1_24hpf,roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250724_mem-mchilada_er-mSG/fish1_24hpf/roi1_2,20250724_mem-mchilada_er-mSG,fish1_24hpf,roi1_2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250724_mem-mchilada_er-mSG/fish1_24hpf/roi1_3,20250724_mem-mchilada_er-mSG,fish1_24hpf,roi1_3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250724_mem-mchilada_er-mSG/fish1_24hpf/roi2,20250724_mem-mchilada_er-mSG,fish1_24hpf,roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250801_mem-histone/fish1_roi1,20250801_mem-histone,fish1_roi1,fish1_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish1_48hpf_roi1,20251007_mem-histone,fish1_48hpf_roi1,fish1_48hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish1_48hpf_roi1_test,20251007_mem-histone,fish1_48hpf_roi1_test,fish1_48hpf_roi1_test,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish1_48hpf_roi1test,20251007_mem-histone,fish1_48hpf_roi1test,fish1_48hpf_roi1test,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish3_48hpf_roi1,20251007_mem-histone,fish3_48hpf_roi1,fish3_48hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish3_48hpf_roi1_test,20251007_mem-histone,fish3_48hpf_roi1_test,fish3_48hpf_roi1_test,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish3_48hpf_roi2,20251007_mem-histone,fish3_48hpf_roi2,fish3_48hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251007_mem-histone/fish3_48hpf_roi2_test,20251007_mem-histone,fish3_48hpf_roi2_test,fish3_48hpf_roi2_test,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20251009_skittlez/fish1_roi1,20251009_skittlez,fish1_roi1,fish1_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/analysis_test/fish1_roi1,analysis_test,fish1_roi1,fish1_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi1,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi1,er_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi2,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi2,er_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/er_roi3,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,er_roi3,er_roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi1,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,mito_roi1,mito_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20250721_72hpf_mrna_mSG_organelle_LLS-SIM/mito_roi2,20250721_72hpf_mrna_mSG_organelle_LLS-SIM,mito_roi2,mito_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20250723_er-mSG_mem-mChilada/fish1_24hpf_roi1,20250723_er-mSG_mem-mChilada,fish1_24hpf_roi1,fish1_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi1,20251002_mem_mito,fish10_24hpf_roi1,fish10_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish10_24hpf_roi2,20251002_mem_mito,fish10_24hpf_roi2,fish10_24hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi1,20251002_mem_mito,fish11_24hpf_roi1,fish11_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi2,20251002_mem_mito,fish11_24hpf_roi2,fish11_24hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish11_24hpf_roi3,20251002_mem_mito,fish11_24hpf_roi3,fish11_24hpf_roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi1,20251002_mem_mito,fish12_24hpf_roi1,fish12_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi2,20251002_mem_mito,fish12_24hpf_roi2,fish12_24hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi3,20251002_mem_mito,fish12_24hpf_roi3,fish12_24hpf_roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish12_24hpf_roi4,20251002_mem_mito,fish12_24hpf_roi4,fish12_24hpf_roi4,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish1_24hpf_roi1,20251002_mem_mito,fish1_24hpf_roi1,fish1_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish3_24hpf_roi1,20251002_mem_mito,fish3_24hpf_roi1,fish3_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish3_24hpf_roi2,20251002_mem_mito,fish3_24hpf_roi2,fish3_24hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi1,20251002_mem_mito,fish5_24hpf_roi1,fish5_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi2,20251002_mem_mito,fish5_24hpf_roi2,fish5_24hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi3,20251002_mem_mito,fish5_24hpf_roi3,fish5_24hpf_roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi1,20251002_mem_mito,fish6_24hpf_roi1,fish6_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi2,20251002_mem_mito,fish6_24hpf_roi2,fish6_24hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi3,20251002_mem_mito,fish6_24hpf_roi3,fish6_24hpf_roi3,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish7_24hpf_roi1,20251002_mem_mito,fish7_24hpf_roi1,fish7_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish7_24hpf_roi2,20251002_mem_mito,fish7_24hpf_roi2,fish7_24hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish8_24hpf_roi1,20251002_mem_mito,fish8_24hpf_roi1,fish8_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish8_24hpf_roi2,20251002_mem_mito,fish8_24hpf_roi2,fish8_24hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish9_24hpf_roi1,20251002_mem_mito,fish9_24hpf_roi1,fish9_24hpf_roi1,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish9_24hpf_roi2,20251002_mem_mito,fish9_24hpf_roi2,fish9_24hpf_roi2,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi1_brain,20251003_mem_tester,fish1_48hpf_xscan_roi1_brain,fish1_48hpf_xscan_roi1_brain,,,,,,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi2_spine_muscle,20251003_mem_tester,fish1_48hpf_xscan_roi2_spine_muscle,fish1_48hpf_xscan_roi2_spine_muscle,,,,,,,,,,,,,,,,,,,,,
