roi_dir,parent_female,parent_male,genotype_pretty,genotype_base_codes,genotype_allele_codes,genotype_marker_fluor_codes,genotype_marker_tag_codes,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,date_born,plate_id_filled,slot_id_filled,roi_index_within_slot,roi_code
U:\Data\20240911_Korra_Foundation\20250324_mem_histone\fish4_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-24,SYN_20250326_plate1,SYN_20250326_plate1-slot1,1,SYN_20250326_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM005(301)/pDQM036(318),"pDQM005,pDQM036","pDQM005:301,pDQM036:318","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-26,SYN_20250327_plate1,SYN_20250327_plate1-slot1,1,SYN_20250327_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish2_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM005(301)/pDQM036(318),"pDQM005,pDQM036","pDQM005:301,pDQM036:318","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-26,SYN_20250327_plate1,SYN_20250327_plate1-slot1,1,SYN_20250327_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish3_48hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM005(301)/pDQM036(318),"pDQM005,pDQM036","pDQM005:301,pDQM036:318","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-26,SYN_20250328_plate1,SYN_20250328_plate1-slot1,1,SYN_20250328_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish4_48hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM005(301)/pDQM036(318),"pDQM005,pDQM036","pDQM005:301,pDQM036:318","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-26,SYN_20250328_plate1,SYN_20250328_plate1-slot1,1,SYN_20250328_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250327_mem_skittles\fish5_48hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM005(301)/pDQM036(318),"pDQM005,pDQM036","pDQM005:301,pDQM036:318","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-26,SYN_20250327_plate1,SYN_20250327_plate1-slot1,1,SYN_20250327_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250401_mem_histone\fish1_24hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005(301),pDQM005,pDQM005:301,"tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-03-31,SYN_20250401_plate1,SYN_20250401_plate1-slot1,1,SYN_20250401_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_24hpf\roi1,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM005(301)/pDQM036(318),"pDQM005,pDQM036","pDQM005:301,pDQM036:318","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-04-03,SYN_20250404_plate1,SYN_20250404_plate1-slot1,1,SYN_20250404_plate1-slot1-roi01
U:\Data\20240911_Korra_Foundation\20250401_mem_skittles\fish1_96hpf,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:<exorh:GFP>mKate2/mCitrine/Electra2/mKOK/mTFP1 (F1 of allele 313),pDQM005(301)/pDQM036(318),"pDQM005,pDQM036","pDQM005:301,pDQM036:318","tdmSG,tdmStayGold",,,,,,"tdmSG,tdmStayGold",2025-04-03,SYN_20250407_plate1,SYN_20250407_plate1-slot1,1,SYN_20250407_plate1-slot1-roi01
"U:\Data\20240911_Korra_Foundation\20250410_organelle\fish1-fish3, lysosome",casper/rnf,casper/rnf,,,,,,MGCO-15,,mStayGold,LAMP1,mStayGold,2025-04-09,SYN_20250410_plate1,SYN_20250410_plate1-slot1,1,SYN_20250410_plate1-slot1-roi01
