roi_dir,mount_dir_norm,date_experiment,date_mount,fish,roi_name,roi_rel,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud,/abcabc/Korra_Foundation/20250520_mem_histone/fish4,20250520_mem_histone,2025-05-20,fish4,roi1_tailbud,roi1_tailbud,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,pDQM117,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","mScarlet3S2(histone),tdmSG(membrane)"
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish4/roi1_tailbud_2,/abcabc/Korra_Foundation/20250520_mem_histone/fish4,20250520_mem_histone,2025-05-20,fish4,roi1_tailbud_2,roi1_tailbud_2,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,pDQM117,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","mScarlet3S2(histone),tdmSG(membrane)"
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish5/roi1_tailbud,/abcabc/Korra_Foundation/20250520_mem_histone/fish5,20250520_mem_histone,2025-05-20,fish5,roi1_tailbud,roi1_tailbud,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,pDQM117,mScarlet3S2::H2B(N),histone,mScarlet3S2(histone),mScarlet3S2::H2B(N)(histone),"histone,membrane","mScarlet3S2(histone),tdmSG(membrane)"
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi1,/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2,20250521_skittles_no-membrane,,fish2,roi1,roi1,,,,,Halo,membrane,Halo(membrane),Halo(membrane),,,,,,,membrane,Halo(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2/roi2,/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish2,20250521_skittles_no-membrane,,fish2,roi2,roi2,,,,,Halo,membrane,Halo(membrane),Halo(membrane),,,,,,,membrane,Halo(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish3/roi1,/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish3,20250521_skittles_no-membrane,,fish3,roi1,roi1,,,,,Halo,membrane,Halo(membrane),Halo(membrane),,,,,,,membrane,Halo(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi1,/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4,20250521_skittles_no-membrane,,fish4,roi1,roi1,,,,,Halo,membrane,Halo(membrane),Halo(membrane),,,,,,,membrane,Halo(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4/roi2,/abcabc/Korra_Foundation/20250521_skittles_no-membrane/fish4,20250521_skittles_no-membrane,,fish4,roi2,roi2,,,,,Halo,membrane,Halo(membrane),Halo(membrane),,,,,,,membrane,Halo(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi1,/abcabc/Korra_Foundation/20250522_skittlez/fish1,20250522_skittlez,,fish1,roi1,roi1,,,,,,,,,,,,,,,,
/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi2,/abcabc/Korra_Foundation/20250522_skittlez/fish1,20250522_skittlez,,fish1,roi2,roi2,,,,,,,,,,,,,,,,
