roi_dir,date_experiment,date_mount,parent_female,parent_male,genotype_base_codes,genotype_allele_codes,genotype_marker_fusion_labels,genotype_marker_localizations,genotype_marker_fluor_loc_labels,genotype_marker_fusion_loc_labels,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_marker_fusion_labels,treatment_marker_localizations,treatment_marker_fluor_loc_labels,treatment_marker_fusion_loc_labels,all_unique_organelles,all_fluor_organelles
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi4,20250513_skittles,2025-10-06,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),ef1a:2xLynk:tdmSG(J) (F1 of allele 304),pDQM005,pDQM005:302,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi5,20250513_skittles,2025-10-03,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi6,20250513_skittles,2025-10-03,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish5/roi7,20250513_skittles,2025-10-03,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,pDQM082,pDQM082:315,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),,MGCO-28,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi1,20250513_skittles,2025-10-03,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,pDQM082,pDQM082:315,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),,MGCO-28,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi2,20250513_skittles,2025-10-02,casper/rnf,tdmScarlet3S2 (F1 of allele 325),pDQM136,pDQM136:325,tdmScarlet3::2xLynk(N),membrane,tdmScarlet3(membrane),tdmScarlet3::2xLynk(N)(membrane),,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmScarlet3(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi3,20250513_skittles,2025-10-02,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,pDQM082,pDQM082:315,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish6/roi4,20250513_skittles,2025-10-02,ef1a:2xLynk:tdmChilada (F1 of allele 315),casper/rnf,pDQM082,pDQM082:315,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),,MGCO-28,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi1_ear_brain,20250513_skittles,2025-10-01,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish7/roi2_brain,20250513_skittles,2025-10-01,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),pDQM005,pDQM005:301,tdmSG::2xLynk(N),membrane,tdmSG(membrane),tdmSG::2xLynk(N)(membrane),,,,,,,membrane,tdmSG(membrane)
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish8/roi1,20250513_skittles,2025-09-26,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),pDQM082,pDQM082:315,tdmChilada::2xLynk(N),membrane,tdmChilada(membrane),tdmChilada::2xLynk(N)(membrane),,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"membrane,mitochondria","tdmChilada(membrane),mStayGold(mitochondria)"
/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish9/roi1,20250513_skittles,2025-09-25,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),Swinburne,Swinburne:Swinburne,,,,,,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),mitochondria,mStayGold(mitochondria)
/clusterfs/vast/abcabc/Korra_Foundation/20250520_mem_histone/fish2/roi1,20250520_mem_histone,2025-09-24,casper/rnf,from Swinburne lab - tank ID 344 (F1 of allele 45385),Swinburne,Swinburne:Swinburne,,,,,,MGCO-01,mStayGold::2Xcox8A(N),mitochondria,mStayGold(mitochondria),mStayGold::2Xcox8A(N)(mitochondria),"histone,membrane,mitochondria",mStayGold(mitochondria)
