date_mount,date_mount_yyyymmdd,sheet_row_index,mount_id,Data location,mount_key,slot_index_global,plateN,slotM,plate_id_filled,slot_id_filled
2025-04-22,20250422,140,,U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish3_24hpf,fish3_24hpf,2,1,2,20250422-plate1,20250422-plate1-slot2
2025-04-23,20250423,138,,U:\Data\20240911_Korra_Foundation\20250421_mem_histone\fish4_48hpf,fish4_48hpf,1,1,1,20250423-plate1,20250423-plate1-slot1
2025-04-24,20250424,135,,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic,20250424_mGold2_cytosolic,1,1,1,20250424-plate1,20250424-plate1-slot1
2025-04-24,20250424,136,,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic,20250424_mGold2_cytosolic,2,1,2,20250424-plate1,20250424-plate1-slot2
2025-04-24,20250424,137,,U:\Data\20240911_Korra_Foundation\20250424_mGold2_cytosolic\141_largeFOV,141_largeFOV,3,1,3,20250424-plate1,20250424-plate1-slot3
2025-04-28,20250428,134,,X:\abcabc\Korra_Foundation\20250428_mem_histone\fish1_72hpf,fish1_72hpf,1,1,1,20250428-plate1,20250428-plate1-slot1
2025-04-29,20250429,133,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish1_24hpf,fish1_24hpf,1,1,1,20250429-plate1,20250429-plate1-slot1
2025-04-30,20250430,131,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish2_48hpf,fish2_48hpf,1,1,1,20250430-plate1,20250430-plate1-slot1
2025-04-30,20250430,132,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish3_mem-halo_24hpf,fish3_mem-halo_24hpf,2,1,2,20250430-plate1,20250430-plate1-slot2
2025-05-01,20250501,130,,X:\abcabc\Korra_Foundation\20250429_mem_cytosol\fish4_mem-halo_48hpf,fish4_mem-halo_48hpf,1,1,1,20250501-plate1,20250501-plate1-slot1
2025-05-05,20250505,129,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0505_fish1_14somite,0505_fish1_14somite,1,1,1,20250505-plate1,20250505-plate1-slot1
2025-05-06,20250506,127,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0506_fish1_memSG_lamp-SG_transmSC_14somite,0506_fish1_memSG_lamp-SG_transmSC_14somite,1,1,1,20250506-plate1,20250506-plate1-slot1
2025-05-06,20250506,128,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0506_fish2_memSG_vemHalo_transmSC,0506_fish2_memSG_vemHalo_transmSC,2,1,2,20250506-plate1,20250506-plate1-slot2
2025-05-07,20250507,126,,X:\abcabc\Korra_Foundation\20250505_fish_transplant\0507_fish1_mchilada_mitoHalo_transmSG,0507_fish1_mchilada_mitoHalo_transmSG,1,1,1,20250507-plate1,20250507-plate1-slot1
