mount_id,date_mount,zf_female_genotype_text,zf_male_genotype_text,additional_plasmids_raw,additional_rnas_raw,additional_proteins_raw,additional_dyes_raw,imaged_locations_raw,data_location,notes
1,2025-09-09,nan,nan,nan,nan,nan,nan,nan,nan,
2,2025-09-09,nan,nan,nan,nan,nan,nan,nan,nan,
1,2025-09-08,ef1a:2xLynk:tdm:mChilada,ef1a:2xLynk:tdm:mChilada,nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle, neuromast",X:\abcabc\Aang_Foundation\20250908_mem-mito,
1,2025-09-05,casper/rnf,mem:tdmChilada,nan,HC-9 Lifeact:mStayGold,nan,nan,nan,nan,
2,2025-09-05,casper/rnf,mem:tdmChilada,nan,HC-9 Lifeact:mStayGold,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250905_lifeact-mSG,
3,2025-09-04,casper/rnf,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),nan,HC-9 Lifeact:mStayGold,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250904_lifeact-mSG,
2025-W36-1,2025-09-03,casper/rnf,mem:tdmChilada,nan,HC-9 Lifeact:mStayGold,nan,nan,nan,X:\abcabc\Aang_Foundation\20250903_lifeact-mSG,
2025-W36-2,2025-09-03,casper/rnf,tandem mem:mStayGold,nan,HC-2 2:NLS-mScarlet3,nan,nan,nan,nan,
2025-W35-7,2025-08-29,csp/pIGLET 14a,csp/pIGLET 14a,MGCO34(lifeact-mStayGold),nan,nan,nan,nan,X:\abcabc\Janelia_Fish\20250903_lifeact-mSG,
2025-W35-6,2025-08-28,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,Lifeact:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250828_mem_actin,
2025-W35-3,2025-08-27,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),nan,Lifeact:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250827_mem_actin,
nan,2025-08-26,casper/rnf,tdmScarlet3S2 (F2 of allele 325),nan,2xCox8A:mSG,nan,nan,nan,nan,
nan,2025-08-26,casper/rnf,tdmScarlet3S2 (F2 of allele 325),nan,mSG:alpha-tub,nan,nan,nan,nan,
nan,2025-08-26,casper/rnf,mem:tdmChilada,nan,2xCox8A:mSG,nan,nan,nan,nan,
nan,2025-08-26,casper/rnf,mem:tdmChilada,nan,Lifeact:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain, muscle",X:\abcabc\Aang_Foundation\20250826_mem_actin,
nan,2025-08-25,casper/rnf,casper/rnf,ef1a-extended:2xCox8A:mStayGold,nan,nan,nan,nan,X:\abcabc\Exploratory_fish\20250825_mgco28_mito-mSG,
nan,2025-08-25,casper/rnf,tandem mem:mStayGold; tdmChilada:Histone,nan,nan,nan,nan,nan,X:\abcabc\Exploratory_fish\20250825_pqdm065_mem-histone,
nan,2025-08-25,casper/rnf,tandem mem:mStayGold; tdmChilada(MAGPV):Histone,nan,nan,nan,nan,nan,X:\abcabc\Exploratory_fish\20250825_pqdm094_mem-histone,
nan,2025-08-25,casper/rnf,casper/rnf,ef1a-extended:mStayGold:sec61b,nan,nan,nan,nan,X:\abcabc\Exploratory_fish\20250825_mgco29_er-msg,
nan,2025-08-22,casper/rnf,mem:tdmChilada,nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, muscle, blood vessel",X:\abcabc\Aang_Foundation\20250821_mem_mito,
nan,2025-08-22,casper/rnf,casper/rnf,ef1a:mCardinal (iCodon),nan,nan,nan,nan,X:\abcabc\Exploratory_fish\20250822_PDQM145,
nan,2025-08-21,casper/rnf,mem:tdmChilada,nan,2xCox8A:mSG,nan,nan,"skin, spinal_cord, hindbrain, brain",X:\abcabc\Aang_Foundation\20250821_mem_mito,
nan,2025-08-21,casper/rnf,mem:tdmChilada,nan,mSG:MYH10,nan,nan,nan,nan,
nan,2025-08-21,tandem mem:mStayGold,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,nan,
nan,2025-08-21,csp/pIGLET 14a,csp/pIGLET 14a,ef1a-extended:alphatubulin:mStayGold,nan,nan,nan,nan,X:\abcabc\Janelia_Fish\20250821_tubulin-mSG,
nan,2025-08-20,casper/rnf,mem:tdmChilada,nan,2xCox8A:mSG,nan,nan,"skin, muscle, spinal_cord, hindbrain, tail",X:\abcabc\Aang_Foundation\20250819_mem_mito,
nan,2025-08-19,casper/rnf,mem:tdmChilada,nan,2xCox8A:mSG,nan,nan,nan,X:\abcabc\Aang_Foundation\20250819_mem_mito,
nan,2025-08-19,casper/rnf,mem:tdmChilada,nan,mSG:sec61b,nan,nan,"skin, muscle, spinal_cord, hindbrain",X:\abcabc\Aang_Foundation\20250819_mem_ER,
nan,2025-08-18,tandem mem:mStayGold,tandem mem:mStayGold,ef1a:mCardinal (iCodon),nan,nan,nan,nan,nan,
nan,2025-08-18,tandem mem:mStayGold,tandem mem:mStayGold,ef1a:linker:mKate2:linker-attB,nan,nan,nan,nan,nan,
nan,2025-08-15,csp/pIGLET 14a,csp/pIGLET 14a,ef1a-extended:LAMP1:mStayGold,nan,nan,nan,nan,nan,
nan,2025-08-15,casper/rnf,tdmScarlet3S2 (F2 of allele 325),nan,nan,nan,nan,nan,nan,
nan,2025-08-14,casper/rnf,casper/rnf,ef1a-extended:mScarlet3S2:sec61b,nan,nan,nan,nan,nan,
nan,2025-08-14,casper/rnf,casper/rnf,ef1a-extended:2xCox8A:mScarlet3S2,nan,nan,nan,nan,nan,
nan,2025-08-14,ef1a:2xLynk:tdm:mHalo,ef1a:2xLynk:tdm:mHalo,nan,TGN:mSG,nan,JF635,nan,nan,
nan,2025-08-14,ef1a:2xLynk:tdm:mHalo,ef1a:2xLynk:tdm:mHalo,nan,LAMP1:mSG,nan,JF635,nan,nan,
nan,2025-08-14,ef1a:2xLynk:tdm:mHalo,ef1a:2xLynk:tdm:mHalo,nan,mSG:alpha-tub,nan,JF635,nan,nan,
nan,2025-08-13,tandem mem:mStayGold,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),nan,nan,nan,nan,nan,nan,
nan,2025-08-12,tandem mem:mStayGold,tandem mem:mStayGold,nan,2xCox8A:mScarlet3S2,nan,nan,nan,9,
nan,2025-08-12,tandem mem:mStayGold,tandem mem:mStayGold,nan,mScarlet3S2:sec61b,nan,nan,nan,nan,
nan,2025-08-11,tandem mem:mStayGold,tandem mem:mStayGold,ef1a:E2Crimson (iCodon),nan,nan,nan,nan,nan,
nan,2025-08-11,tandem mem:mStayGold,tandem mem:mStayGold,ef1a:mCardinal (iCodon),nan,nan,nan,nan,nan,
nan,2025-08-08,membrane mChilada,membrane mChilada,nan,2xCox8A:mSG,nan,nan,"skin, muscle, spinal_cord, hindbrain",X:\abcabc\Aang_Foundation\20250808_mem_organelle,
nan,2025-08-08,membrane mChilada,membrane mChilada,nan,LAMP1:mSG,nan,nan,"skin, muscle, spinal_cord, hindbrain",X:\abcabc\Aang_Foundation\20250808_mem_organelle,
nan,2025-08-07,heatshock PhiC,heatshock PhiC,ef1a-extended:TNG46:mStayGold,nan,nan,nan,nan,nan,
nan,2025-08-07,heatshock PhiC,heatshock PhiC,ef1a-extended:mScarlet3S2:sec61b,nan,nan,nan,nan,nan,
nan,2025-08-06,membrane Halo,membrane Halo,nan,Lifeact:mSG,nan,nan,"skin, muscle, spinal_cord",X:\abcabc\Aang_Foundation\20250805_lifeact_mem-halo,
nan,2025-08-05,nan,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,nan,nan,nan,"skin, muscle, spinal_cord, hindbrain",X:\abcabc\Korra_Foundation\20250805_mem-histone,
nan,2025-08-05,membrane Halo,membrane Halo,nan,2xCox8A:mSG,nan,nan,"skin, muscle, spinal_cord",X:\abcabc\Aang_Foundation\20250805_mito_mem-halo,
nan,2025-08-04,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,tdmChilada:PCNA,nan,nan,"skin, muscle, spinal_cord, notochord, neuromast",X:\abcabc\Korra_Foundation\20250801_mem-PCNA\fish3_72hpf_roi1,
nan,2025-08-01,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,tdmChilada:PCNA,nan,nan,"skin, muscle, spinal_cord, hindbrain",X:\abcabc\Korra_Foundation\20250801_mem-PCNA,
nan,2025-07-28,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,tdmChilada:PCNA,nan,nan,"skin, muscle, spinal_cord, notochord, neuromast, hindbrain",X:\abcabc\Korra_Foundation\20250728_mem-histone,
nan,2025-07-24,membrane mChilada,membrane mChilada,nan,mSG:sec61b,nan,nan,"skin, muscle, spinal_cord, neuromast, hindbrain","X:\abcabc\Korra_Foundation\20250724_mem-mchilada_er-mSG, X:\abcabc\Aang_Foundation\20250723_er-mSG_mem-mChilada",
nan,2025-07-23,membrane Halo,membrane Halo,nan,mSG:sec61b,nan,JF 635,"skin, muscle, spinal_cord",X:\abcabc\Korra_Foundation\20250723_mem-halo_ER-mSG\fish3_48hpf,
nan,2025-07-22,membrane Halo,membrane Halo,nan,mSG:sec61b,nan,JF 635,"skin, muscle, spinal_cord",X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,
nan,2025-07-22,membrane mChilada,membrane mChilada,nan,2xCox8A:mSG,nan,nan,"skin, muscle, spinal_cord",X:\abcabc\Aang_Foundation\20250722_mrna_mito-mSG_mem-mChilada,
nan,2025-07-17,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,nan,JF 635,"skin, muscle, spinal_cord, notochord, neuromast",X:\abcabc\Korra_Foundation\20250715_mem_organelle,
nan,2025-07-16,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,nan,JF 635,"brain, skin, muscle, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250715_mem_organelle,
nan,2025-07-15,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,nan,JF 635,"brain, skin, muscle, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250715_mem_organelle,
nan,2025-07-15,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a-extended:2xCox8A:Halo,ef1a-extended:mScarlet3S2:sec61b,nan,JF 635,"brain, skin, muscle, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250715_mem_organelle,
nan,2025-06-27,Jim (F2 of allele 316),Ben (F2 of allele 310),nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"brain, skin, muscle, hindbrain, spinal_cord",X:\abcabc\Korra_Foundation\20250627_skittlez and 20250625_skittlez,
nan,2025-06-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"brain, skin, muscle, hindbrain",X:\abcabc\Korra_Foundation\20250626_mem-histone\fish1_48hpf_brain,
nan,2025-06-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),nan,mScarlet3-S2:H2B,nan,nan,"hindbrain, spinal_cord, skin, muscle, tail, blood vessel",X:\abcabc\Korra_Foundation\20250626_mem-histone\fish3_48hpf_hindbrain-to-tail,
nan,2025-06-25,Ben (F2 of allele 310),Abe (F2 of allele 309),nan,"phiC-NLS, 2xLynk:mSG","this cross is high in 514, which causes difficulty for mSG channel",nan,"hindbrain, brain, spinal_cord, skin, muscle",X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,
nan,2025-06-24,Ken (F2 of allele 320),Isaac (F2 of allele 314),nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"hindbrain, brain, spinal_cord, skin",X:\abcabc\Korra_Foundation\20250624_skittlez_Issac_x_Ken,
nan,2025-06-24,Liam (F2 of allele 321),Chris (F1 of allele 317),nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"hindbrain, brain, spinal_cord, skin, muscle, eye",X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,
nan,2025-06-19,Dennis (F2 of allele 318),Abe (F2 of allele 309),nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear, eye",X:\abcabc\Korra_Foundation\20250619_skittlez,
nan,2025-06-18,Ben (F2 of allele 310),Abe (F2 of allele 309),nan,"phiC-NLS, 2xLynk:mSG",nan,nan,"spinal_cord, skin, muscle, hindbrain, brain, tail, ear, eye",X:\abcabc\Korra_Foundation\20250618_skittlez,
