dataset_source,clutch_code,clutch_date,genotype_cross_label,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_marker_fluor_codes,genotype_marker_tag_codes,treat_code,treat_text,treatment_plasmid_base_codes,treatment_rna_base_codes,treatment_dye_base_codes,treatment_marker_fluor_codes,treatment_marker_tag_codes,all_marker_fluor_codes,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,experimental_plate_id,experimental_slot_id,data_location,roi_index,roi_name,data_path
cluster_linked,IMG_CLT_20250217_01,2025-02-17,Swinburne_301_Swinburne,"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301",Swinburne(Swinburne)/pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_008,JF635 3uM,"","","",,,"tdmSG,tdmStayGold",259,,,,2025-02-20,,20250220-plate1,20250220-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish3_72hpf_halo_jfx649,,,
cluster_linked,IMG_CLT_20250217_01,2025-02-17,Swinburne_301_Swinburne,"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301",Swinburne(Swinburne)/pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_008,JF635 3uM,"","","",,,"tdmSG,tdmStayGold",261,,,,2025-02-19,,20250219-plate1,20250219-plate1-slot2,"U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi1,2,2-2)",,,
cluster_linked,IMG_CLT_20250217_01,2025-02-17,Swinburne_301_Swinburne,"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301",Swinburne(Swinburne)/pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_008,JF635 3uM,"","","",,,"tdmSG,tdmStayGold",262,,,,2025-02-19,,20250219-plate1,20250219-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish2_48hpf_halo_jfx649 (roi 3-9),,,
cluster_linked,IMG_CLT_20250217_01,2025-02-17,Swinburne_301_Swinburne,"Swinburne,pDQM005","Swinburne:Swinburne,pDQM005:301",Swinburne(Swinburne)/pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_008,JF635 3uM,"","","",,,"tdmSG,tdmStayGold",263,,,,2025-02-18,,20250218-plate1,20250218-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250218_mem_histone\fish1_24hpf_halo_jfx649,,,
cluster_linked,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",249,,,,2025-02-26,,20250226-plate1,20250226-plate1-slot3,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish3_48hpf,,,
cluster_linked,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",250,,,,2025-02-26,,20250226-plate1,20250226-plate1-slot4,U:\Data\20240911_Korra_Foundation\20250225_mem_nuc\fish4_48hpf,,,
cluster_linked,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",251,,,,2025-02-26,,20250226-plate1,20250226-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi1-2),,,
cluster_linked,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",252,,,,2025-02-26,,20250226-plate1,20250226-plate1-slot2,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish5_6_48hpf (roi3-4),,,
cluster_linked,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",253,,,,2025-02-25,,20250225-plate1,20250225-plate1-slot1,U:\Data\20240911_Korra_Foundation\20250225_mem_histone\fish1_24hpf,,,
cluster_linked,IMG_CLT_20250224_01,2025-02-24,pDQM005_301,pDQM005,pDQM005:301,pDQM005(301),"tdmSG,tdmStayGold","",IMG_TRT_006,mYH:H2B (80 and 120 pg),"","","",,,"tdmSG,tdmStayGold",254,,,,2025-02-25,,20250225-plate1,20250225-plate1-slot4,,,,
