clutch_code,sheet_row_index,date_born,zf_female_genotype_text,zf_male_genotype_text,date_mount,mount_id,data_location,row_plasmids_text,row_rnas_text,row_proteins_text,row_dyes_text
IMG_CLT_20250902_01,69,2025-09-02,casper/rnf,mem:tdmChilada,2025-09-05,2,X:\abcabc\Aang_Foundation\20250905_lifeact-mSG,,HC-9 Lifeact:mStayGold,,
IMG_CLT_20250903_01,70,2025-09-03,casper/rnf,ef1a-extended:2xLynk:tdmScarlet3-S2-tol2 (F1 of allele 325),2025-09-04,3,X:\abcabc\Aang_Foundation\20250904_lifeact-mSG,,HC-9 Lifeact:mStayGold,,
IMG_CLT_20250902_01,71,2025-09-02,casper/rnf,mem:tdmChilada,2025-09-03,2025-W36-1,X:\abcabc\Aang_Foundation\20250903_lifeact-mSG,,HC-9 Lifeact:mStayGold,,
IMG_CLT_20250902_02,72,2025-09-02,casper/rnf,tandem mem:mStayGold,2025-09-03,2025-W36-2,,,HC-2 2:NLS-mScarlet3,,
IMG_CLT_20250826_01,73,2025-08-26,csp/pIGLET 14a,csp/pIGLET 14a,2025-08-29,2025-W35-7,X:\abcabc\Janelia_Fish\20250903_lifeact-mSG,MGCO34(lifeact-mStayGold),,,
IMG_CLT_20250827_01,74,2025-08-27,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-08-28,2025-W35-6,X:\abcabc\Aang_Foundation\20250828_mem_actin,,Lifeact:mSG,,
IMG_CLT_20250825_01,75,2025-08-25,casper/rnf,ef1a:2xLynk:tdmChilada (F1 of allele 315),2025-08-27,2025-W35-3,X:\abcabc\Aang_Foundation\20250827_mem_actin,,Lifeact:mSG,,
IMG_CLT_20250825_03,76,2025-08-25,casper/rnf,tdmScarlet3S2 (F2 of allele 325),2025-08-26,,,,2xCox8A:mSG,,
IMG_CLT_20250825_03,77,2025-08-25,casper/rnf,tdmScarlet3S2 (F2 of allele 325),2025-08-26,,,,mSG:alpha-tub,,
IMG_CLT_20250825_02,78,2025-08-25,casper/rnf,mem:tdmChilada,2025-08-26,,,,2xCox8A:mSG,,
IMG_CLT_20250825_02,79,2025-08-25,casper/rnf,mem:tdmChilada,2025-08-26,,X:\abcabc\Aang_Foundation\20250826_mem_actin,,Lifeact:mSG,,
IMG_CLT_20250822_01,80,2025-08-22,casper/rnf,casper/rnf,2025-08-25,,X:\abcabc\Exploratory_fish\20250825_mgco28_mito-mSG,ef1a-extended:2xCox8A:mStayGold,,,
IMG_CLT_20250822_03,81,2025-08-22,casper/rnf,tandem mem:mStayGold; tdmChilada:Histone,2025-08-25,,X:\abcabc\Exploratory_fish\20250825_pqdm065_mem-histone,,,,
IMG_CLT_20250822_02,82,2025-08-22,casper/rnf,tandem mem:mStayGold; tdmChilada(MAGPV):Histone,2025-08-25,,X:\abcabc\Exploratory_fish\20250825_pqdm094_mem-histone,,,,
IMG_CLT_20250822_01,83,2025-08-22,casper/rnf,casper/rnf,2025-08-25,,X:\abcabc\Exploratory_fish\20250825_mgco29_er-msg,ef1a-extended:mStayGold:sec61b,,,
IMG_CLT_20250820_01,84,2025-08-20,casper/rnf,mem:tdmChilada,2025-08-22,,X:\abcabc\Aang_Foundation\20250821_mem_mito,,2xCox8A:mSG,,
IMG_CLT_20250819_01,85,2025-08-19,casper/rnf,casper/rnf,2025-08-22,,X:\abcabc\Exploratory_fish\20250822_PDQM145,ef1a:mCardinal (iCodon),,,
IMG_CLT_20250820_01,86,2025-08-20,casper/rnf,mem:tdmChilada,2025-08-21,,X:\abcabc\Aang_Foundation\20250821_mem_mito,,2xCox8A:mSG,,
IMG_CLT_20250820_01,87,2025-08-20,casper/rnf,mem:tdmChilada,2025-08-21,,,,mSG:MYH10,,
IMG_CLT_20250818_02,88,2025-08-18,tandem mem:mStayGold,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-08-21,,,,,,
IMG_CLT_20250818_01,90,2025-08-18,casper/rnf,mem:tdmChilada,2025-08-20,,X:\abcabc\Aang_Foundation\20250819_mem_mito,,2xCox8A:mSG,,
IMG_CLT_20250818_01,91,2025-08-18,casper/rnf,mem:tdmChilada,2025-08-19,,X:\abcabc\Aang_Foundation\20250819_mem_mito,,2xCox8A:mSG,,
IMG_CLT_20250818_01,92,2025-08-18,casper/rnf,mem:tdmChilada,2025-08-19,,X:\abcabc\Aang_Foundation\20250819_mem_ER,,mSG:sec61b,,
IMG_CLT_20250815_01,93,2025-08-15,tandem mem:mStayGold,tandem mem:mStayGold,2025-08-18,,,ef1a:mCardinal (iCodon),,,
IMG_CLT_20250815_01,94,2025-08-15,tandem mem:mStayGold,tandem mem:mStayGold,2025-08-18,,,ef1a:linker:mKate2:linker-attB,,,
IMG_CLT_20250814_01,96,2025-08-14,casper/rnf,tdmScarlet3S2 (F2 of allele 325),2025-08-15,,,,,,
IMG_CLT_20250811_01,102,2025-08-11,tandem mem:mStayGold,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),2025-08-13,,,,,,
IMG_CLT_20250807_01,107,2025-08-07,membrane mChilada,membrane mChilada,2025-08-08,,X:\abcabc\Aang_Foundation\20250808_mem_organelle,,2xCox8A:mSG,,
IMG_CLT_20250807_01,108,2025-08-07,membrane mChilada,membrane mChilada,2025-08-08,,X:\abcabc\Aang_Foundation\20250808_mem_organelle,,LAMP1:mSG,,
IMG_CLT_20250804_01,111,2025-08-04,membrane Halo,membrane Halo,2025-08-06,,X:\abcabc\Aang_Foundation\20250805_lifeact_mem-halo,,Lifeact:mSG,,
IMG_CLT_20250804_02,112,2025-08-04,,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-08-05,,X:\abcabc\Korra_Foundation\20250805_mem-histone,,,,
IMG_CLT_20250804_01,113,2025-08-04,membrane Halo,membrane Halo,2025-08-05,,X:\abcabc\Aang_Foundation\20250805_mito_mem-halo,,2xCox8A:mSG,,
IMG_CLT_20250801_01,114,2025-08-01,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-08-04,,X:\abcabc\Korra_Foundation\20250801_mem-PCNA\fish3_72hpf_roi1,,tdmChilada:PCNA,,
IMG_CLT_20250731_01,115,2025-07-31,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-08-01,,X:\abcabc\Korra_Foundation\20250801_mem-PCNA,,tdmChilada:PCNA,,
IMG_CLT_20250726_01,116,2025-07-26,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-07-28,,X:\abcabc\Korra_Foundation\20250728_mem-histone,,tdmChilada:PCNA,,
IMG_CLT_20250723_01,117,2025-07-23,membrane mChilada,membrane mChilada,2025-07-24,,"X:\abcabc\Korra_Foundation\20250724_mem-mchilada_er-mSG, X:\abcabc\Aang_Foundation\20250723_er-mSG_mem-mChilada",,mSG:sec61b,,
IMG_CLT_20250721_01,118,2025-07-21,membrane Halo,membrane Halo,2025-07-23,,X:\abcabc\Korra_Foundation\20250723_mem-halo_ER-mSG\fish3_48hpf,,mSG:sec61b,,JF 635
IMG_CLT_20250721_01,119,2025-07-21,membrane Halo,membrane Halo,2025-07-22,,X:\abcabc\Aang_Foundation\20250722_mem-halo_er-mSG,,mSG:sec61b,,JF 635
IMG_CLT_20250721_02,120,2025-07-21,membrane mChilada,membrane mChilada,2025-07-22,,X:\abcabc\Aang_Foundation\20250722_mrna_mito-mSG_mem-mChilada,,2xCox8A:mSG,,
IMG_CLT_20250714_01,121,2025-07-14,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-07-17,,X:\abcabc\Korra_Foundation\20250715_mem_organelle,ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,,JF 635
IMG_CLT_20250714_01,122,2025-07-14,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-07-16,,X:\abcabc\Korra_Foundation\20250715_mem_organelle,ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,,JF 635
IMG_CLT_20250714_01,123,2025-07-14,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-07-15,,X:\abcabc\Korra_Foundation\20250715_mem_organelle,ef1a-extended:2xCox8A:mScarlet3S2,ef1a-extended:Halo:sec61b,,JF 635
IMG_CLT_20250714_01,124,2025-07-14,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-07-15,,X:\abcabc\Korra_Foundation\20250715_mem_organelle,ef1a-extended:2xCox8A:Halo,ef1a-extended:mScarlet3S2:sec61b,,JF 635
IMG_CLT_20250626_01,125,2025-06-26,Jim (F2 of allele 316),Ben (F2 of allele 310),2025-06-27,,X:\abcabc\Korra_Foundation\20250627_skittlez and 20250625_skittlez,,"phiC-NLS, 2xLynk:mSG",,
IMG_CLT_20250624_02,126,2025-06-24,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-06-26,,X:\abcabc\Korra_Foundation\20250626_mem-histone\fish1_48hpf_brain,,mScarlet3-S2:H2B,,
IMG_CLT_20250624_02,127,2025-06-24,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-06-26,,X:\abcabc\Korra_Foundation\20250626_mem-histone\fish3_48hpf_hindbrain-to-tail,,mScarlet3-S2:H2B,,
IMG_CLT_20250624_01,128,2025-06-24,Ben (F2 of allele 310),Abe (F2 of allele 309),2025-06-25,,X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,,"phiC-NLS, 2xLynk:mSG","this cross is high in 514, which causes difficulty for mSG channel",
IMG_CLT_20250623_01,129,2025-06-23,Ken (F2 of allele 320),Isaac (F2 of allele 314),2025-06-24,,X:\abcabc\Korra_Foundation\20250624_skittlez_Issac_x_Ken,,"phiC-NLS, 2xLynk:mSG",,
IMG_CLT_20250623_02,130,2025-06-23,Liam (F2 of allele 321),Chris (F1 of allele 317),2025-06-24,,X:\abcabc\Korra_Foundation\20250624_skittlez_Chris_x_Liam,,"phiC-NLS, 2xLynk:mSG",,
IMG_CLT_20250618_01,131,2025-06-18,Dennis (F2 of allele 318),Abe (F2 of allele 309),2025-06-19,,X:\abcabc\Korra_Foundation\20250619_skittlez,,"phiC-NLS, 2xLynk:mSG",,
IMG_CLT_20250617_01,132,2025-06-17,Ben (F2 of allele 310),Abe (F2 of allele 309),2025-06-18,,X:\abcabc\Korra_Foundation\20250618_skittlez,,"phiC-NLS, 2xLynk:mSG",,
IMG_CLT_20250616_01,133,2025-06-16,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-06-17,,X:\abcabc\Korra_Foundation\20250616_mem-histone\fish_24hpf,,mScarlet3-S2:H2B,,
IMG_CLT_20250614_01,134,2025-06-14,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-06-16,,X:\abcabc\Korra_Foundation\20250616_mem-histone\fish1,,mScarlet3-S2:H2B,,
IMG_CLT_20250612_01,135,2025-06-12,Jim (F2 of allele 316),Dennis (F2 of allele 318),2025-06-13,,X:\abcabc\Korra_Foundation\20250613_skittlez,,"phiC-NLS, 2xLynk:mSG",this cross is very good,
IMG_CLT_20250611_01,136,2025-06-11,Dennis (F2 of allele 318),Abe (F2 of allele 309),2025-06-12,,X:\abcabc\Korra_Foundation\20250612_skittlez,,"phiC-NLS, 2xLynk:mSG",,
IMG_CLT_20250609_01,137,2025-06-09,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-06-10,,X:\abcabc\Korra_Foundation\20250609_mem-histone\fish2_24hpf_roi1-2,,mScarlet3-S2:H2B,,
IMG_CLT_20250609_01,138,2025-06-09,ef1a:2xLynk:tdmSG(J) (F2 of allele 301),ef1a:2xLynk:tdmSG(J) (F2 of allele 301),2025-06-10,,X:\abcabc\Korra_Foundation\20250609_mem-histone\fish3-6\,,mScarlet3-S2:H2B,,
