clutch_code,clutch_date,estimated_egg_count,source_system,female_genotype_text,male_genotype_text,notes,female_plasmid_base_code,female_allele,male_plasmid_base_code,male_allele,genotype_base_codes,genotype_allele_codes,genotype_pretty,genotype_cross_label,treatment_plasmids_text,treatment_rnas_text,treatment_proteins_text,treatment_dyes_text
IMG_CLT_20250521_01,2025-05-21,1,imaging_backfill,,,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,,,
IMG_CLT_20250522_01,2025-05-22,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,302,pDQM005,302,pDQM005,pDQM005:302,pDQM005(302),pDQM005_302,,mScarlet3-S2:H2B,,
IMG_CLT_20250527_01,2025-05-27,3,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,302,pDQM005,302,pDQM005,pDQM005:302,pDQM005(302),pDQM005_302,,mScarlet3-S2:H2B,,
IMG_CLT_20250527_02,2025-05-27,1,imaging_backfill,,,"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,,,,,,,,,,
IMG_CLT_20250528_01,2025-05-28,1,imaging_backfill,Jim (F2 of allele 316),Ben (F2 of allele 310),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM059,316,pDQM034,310,"pDQM034,pDQM059","pDQM059:316,pDQM034:310",pDQM059(316)/pDQM034(310),pDQM034_310_316,,phiC-NLS; 2xLynk:mSG; mChilada:H2B,,
IMG_CLT_20250528_02,2025-05-28,1,imaging_backfill,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),ef1a:2xLynk:tdmSG(J) (F2 of allele 302),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM005,302,pDQM005,302,pDQM005,pDQM005:302,pDQM005(302),pDQM005_302,,mScarlet3-S2:H2B,,
IMG_CLT_20250530_01,2025-05-30,1,imaging_backfill,casper/rnf,ef1a:2xLynk:tdmSG(J) (F2 of allele 302),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",,,pDQM005,302,pDQM005,pDQM005:302,pDQM005(302),pDQM005_302,,,,
IMG_CLT_20250602_01,2025-06-02,1,imaging_backfill,Liam (F2 of allele 321),Chris (F1 of allele 317),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM059,321,pDQM034,317,"pDQM034,pDQM059","pDQM059:321,pDQM034:317",pDQM059(321)/pDQM034(317),pDQM034_317_321,,phiC-NLS; 2xLynk:mSG,,
IMG_CLT_20250604_01,2025-06-04,1,imaging_backfill,Dennis (F2 of allele 318),Abe (F2 of allele 309),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM036,318,pDQM034,309,"pDQM034,pDQM036","pDQM036:318,pDQM034:309",pDQM036(318)/pDQM034(309),pDQM034_309_318,,phiC-NLS; 2xLynk:mSG,,
IMG_CLT_20250605_01,2025-06-05,1,imaging_backfill,Jim (F2 of allele 316),Ben (F2 of allele 310),"Backfilled from imaging_sheet; grouped by (Date born, ZF female genotype, ZF male genotype)",pDQM059,316,pDQM034,310,"pDQM034,pDQM059","pDQM059:316,pDQM034:310",pDQM059(316)/pDQM034(310),pDQM034_310_316,,phiC-NLS; 2xLynk:mSG,,
