plasmid_code,plasmid_name,n_fluors_per_plasmid,fluor,tag,tag_pos
pDQM158,A2UCOE-ef1a-extened::tdmScarlet3-S2:PCNA-tol2,1,tdmScarlet3,,
pDQM159,A2UCOE-ef1a-extended:DHB:tdmSG-tol2,1,tdmSG,DHB,N
pDQM160,ef1a-extended-tdmScarlet3S2::GMN (endogenous),1,tdmScarlet3S2,,
pDQM161,loxP-ubb-mSG-h2b-lox2272,1,mSG,h2b,N
pDQM162,FRT3-ubb-mSG-h2b-FRT,1,mSG,h2b,N
pDQM164,A2UCOE-ef1a-extended-skittles 4.0 (2xLynk:mSG-attP-Halo-attP-Electra-attP-mBeRFP-attP-mScarlet3-S2-attP-mTFP1),1,mSG,2xLynk,N
pDQM165,exorH:mScarlet; hsp:phiC(iC)-NLS,1,mScarlet,,
pDQM166,exorH:mScarlet; hsp:phiC(iC)-NLS-tPT2A-2xLynk-mSG-ubb,1,mSG,2xLynk,N
pDQM167,SB-LTR-loxP-ubb-mSG-h2b-SV40-SB-lox2272-LTR,1,mSG,h2b,N
pDQM168,SB-LTR-FRT-ubb-mSG-h2b-SV40-SB-FRT3-LTR,1,mSG,h2b,N
