dataset,legacy_fish_label,imaging_nickname,suggested_fish_code,final_fish_code,notes
aang,fish12_24hpf_roi3,mem_mito,FSH_LEGACY_aang_fish12_24hpf_roi3,FSH_LEGACY_aang_fish12_24hpf_roi3,from imaging_slots_standard_from_legacy
aang,fish5_24hpf_roi1,mem-mito,FSH_LEGACY_aang_fish5_24hpf_roi1,FSH_LEGACY_aang_fish5_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish2_72hpf_roi3,mem-mito,FSH_LEGACY_aang_fish2_72hpf_roi3,FSH_LEGACY_aang_fish2_72hpf_roi3,from imaging_slots_standard_from_legacy
aang,fish2_48hpf_roi4,mrna_mito-mSG_mem-mChilada,FSH_LEGACY_aang_fish2_48hpf_roi4,FSH_LEGACY_aang_fish2_48hpf_roi4,from imaging_slots_standard_from_legacy
aang,fish4_24hpf_roi2,mem-mito_v2,FSH_LEGACY_aang_fish4_24hpf_roi2,FSH_LEGACY_aang_fish4_24hpf_roi2,from imaging_slots_standard_from_legacy
aang,fish3_24hpf_roi6,mem-mito,FSH_LEGACY_aang_fish3_24hpf_roi6,FSH_LEGACY_aang_fish3_24hpf_roi6,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi5,mem_ER,FSH_LEGACY_aang_fish1_24hpf_roi5,FSH_LEGACY_aang_fish1_24hpf_roi5,from imaging_slots_standard_from_legacy
korra,fish12,skittles,FSH_LEGACY_korra_fish12,FSH_LEGACY_korra_fish12,from imaging_slots_standard_from_legacy
aang,fish2_24hpf_roi3,mem-mito,FSH_LEGACY_aang_fish2_24hpf_roi3,FSH_LEGACY_aang_fish2_24hpf_roi3,from imaging_slots_standard_from_legacy
aang,fish3_24hpf_roi1,mem_actin,FSH_LEGACY_aang_fish3_24hpf_roi1,FSH_LEGACY_aang_fish3_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish6_24hpf_roi2,mem_histone,FSH_LEGACY_aang_fish6_24hpf_roi2,FSH_LEGACY_aang_fish6_24hpf_roi2,from imaging_slots_standard_from_legacy
aang,fish2_48hpf_roi2,mrna_mito-mSG_mem-mChilada,FSH_LEGACY_aang_fish2_48hpf_roi2,FSH_LEGACY_aang_fish2_48hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish1_roi1,mitomSG,FSH_LEGACY_korra_fish1_roi1,FSH_LEGACY_korra_fish1_roi1,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi1,er-mSG_mem-mChilada,FSH_LEGACY_aang_fish1_24hpf_roi1,FSH_LEGACY_aang_fish1_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi1-2,mem_actin,FSH_LEGACY_aang_fish1_24hpf_roi1_2,FSH_LEGACY_aang_fish1_24hpf_roi1_2,from imaging_slots_standard_from_legacy
korra,fish1_72hpf,mem_histone,FSH_LEGACY_korra_fish1_72hpf,FSH_LEGACY_korra_fish1_72hpf,from imaging_slots_standard_from_legacy
korra,fish7_roi3,skittlez_Chris_x_Liam,FSH_LEGACY_korra_fish7_roi3,FSH_LEGACY_korra_fish7_roi3,from imaging_slots_standard_from_legacy
aang,fish5_24hpf_roi1,mem-histone,FSH_LEGACY_aang_fish5_24hpf_roi1,FSH_LEGACY_aang_fish5_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish1_roi2,mrna_mito-mSG_mem-mChilada,FSH_LEGACY_aang_fish1_roi2,FSH_LEGACY_aang_fish1_roi2,from imaging_slots_standard_from_legacy
aang,fish6_24hpf_roi3,mem-mito,FSH_LEGACY_aang_fish6_24hpf_roi3,FSH_LEGACY_aang_fish6_24hpf_roi3,from imaging_slots_standard_from_legacy
aang,fish1_72hpf_roi3,mem-mito,FSH_LEGACY_aang_fish1_72hpf_roi3,FSH_LEGACY_aang_fish1_72hpf_roi3,from imaging_slots_standard_from_legacy
aang,fish4_24hpf_roi1,mem_histone,FSH_LEGACY_aang_fish4_24hpf_roi1,FSH_LEGACY_aang_fish4_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish4_48hpf_roi3,mem-mito,FSH_LEGACY_aang_fish4_48hpf_roi3,FSH_LEGACY_aang_fish4_48hpf_roi3,from imaging_slots_standard_from_legacy
korra,fish2_72hpf_roi1,mem-histone,FSH_LEGACY_korra_fish2_72hpf_roi1,FSH_LEGACY_korra_fish2_72hpf_roi1,from imaging_slots_standard_from_legacy
korra,fish3,skittlez,FSH_LEGACY_korra_fish3,FSH_LEGACY_korra_fish3,from imaging_slots_standard_from_legacy
aang,fish3_24hpf_roi5,mem-mito,FSH_LEGACY_aang_fish3_24hpf_roi5,FSH_LEGACY_aang_fish3_24hpf_roi5,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi4,mem-halo_er-mSG,FSH_LEGACY_aang_fish1_24hpf_roi4,FSH_LEGACY_aang_fish1_24hpf_roi4,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi3,mem_mito,FSH_LEGACY_aang_fish1_24hpf_roi3,FSH_LEGACY_aang_fish1_24hpf_roi3,from imaging_slots_standard_from_legacy
aang,fish3_48hpf_roi2,mem_actin,FSH_LEGACY_aang_fish3_48hpf_roi2,FSH_LEGACY_aang_fish3_48hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish2_72hpf_roi2,mem-histone,FSH_LEGACY_korra_fish2_72hpf_roi2,FSH_LEGACY_korra_fish2_72hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish4_roi1,skittlez_Chris_x_Liam,FSH_LEGACY_korra_fish4_roi1,FSH_LEGACY_korra_fish4_roi1,from imaging_slots_standard_from_legacy
korra,fish3_48hpf,mem-halo_ER-mSG,FSH_LEGACY_korra_fish3_48hpf,FSH_LEGACY_korra_fish3_48hpf,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi2,mem-halo_er-mSG,FSH_LEGACY_aang_fish1_24hpf_roi2,FSH_LEGACY_aang_fish1_24hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish2_72hpf_roi3,mem-histone,FSH_LEGACY_korra_fish2_72hpf_roi3,FSH_LEGACY_korra_fish2_72hpf_roi3,from imaging_slots_standard_from_legacy
aang,fish7_24hpf_roi4,mem-mito,FSH_LEGACY_aang_fish7_24hpf_roi4,FSH_LEGACY_aang_fish7_24hpf_roi4,from imaging_slots_standard_from_legacy
aang,fish3_24hpf_roi1,mem-mito,FSH_LEGACY_aang_fish3_24hpf_roi1,FSH_LEGACY_aang_fish3_24hpf_roi1,from imaging_slots_standard_from_legacy
korra,fish10_roi3,skittlez,FSH_LEGACY_korra_fish10_roi3,FSH_LEGACY_korra_fish10_roi3,from imaging_slots_standard_from_legacy
korra,fish1_roi1,mem-histone,FSH_LEGACY_korra_fish1_roi1,FSH_LEGACY_korra_fish1_roi1,from imaging_slots_standard_from_legacy
aang,fish3_72hpf_roi10,mem-mito,FSH_LEGACY_aang_fish3_72hpf_roi10,FSH_LEGACY_aang_fish3_72hpf_roi10,from imaging_slots_standard_from_legacy
korra,fish7_roi1,skittlez,FSH_LEGACY_korra_fish7_roi1,FSH_LEGACY_korra_fish7_roi1,from imaging_slots_standard_from_legacy
korra,fish3_48hpf_roi1_test,mem-histone,FSH_LEGACY_korra_fish3_48hpf_roi1_test,FSH_LEGACY_korra_fish3_48hpf_roi1_test,from imaging_slots_standard_from_legacy
korra,fish2_96hpf_roi2,mem-histone,FSH_LEGACY_korra_fish2_96hpf_roi2,FSH_LEGACY_korra_fish2_96hpf_roi2,from imaging_slots_standard_from_legacy
korra,fish1_72hpf_roi4,mem-histone,FSH_LEGACY_korra_fish1_72hpf_roi4,FSH_LEGACY_korra_fish1_72hpf_roi4,from imaging_slots_standard_from_legacy
korra,fish14_roi1,skittlez,FSH_LEGACY_korra_fish14_roi1,FSH_LEGACY_korra_fish14_roi1,from imaging_slots_standard_from_legacy
aang,fish4_48hpf_roi3,mem_mito,FSH_LEGACY_aang_fish4_48hpf_roi3,FSH_LEGACY_aang_fish4_48hpf_roi3,from imaging_slots_standard_from_legacy
korra,fish3_48hpf_roi2_test,mem-histone,FSH_LEGACY_korra_fish3_48hpf_roi2_test,FSH_LEGACY_korra_fish3_48hpf_roi2_test,from imaging_slots_standard_from_legacy
aang,fish3_96hpf_roi3,mem-histone,FSH_LEGACY_aang_fish3_96hpf_roi3,FSH_LEGACY_aang_fish3_96hpf_roi3,from imaging_slots_standard_from_legacy
aang,20251029_mem-histone,,FSH_LEGACY_aang_20251029_mem_histone,FSH_LEGACY_aang_20251029_mem_histone,from imaging_slots_standard_from_legacy
aang,fish2_24hpf_roi1,mem-peroxi2,FSH_LEGACY_aang_fish2_24hpf_roi1,FSH_LEGACY_aang_fish2_24hpf_roi1,from imaging_slots_standard_from_legacy
aang,fish8_24hpf_roi3,mem-mito,FSH_LEGACY_aang_fish8_24hpf_roi3,FSH_LEGACY_aang_fish8_24hpf_roi3,from imaging_slots_standard_from_legacy
aang,fish1_24hpf_roi5,lifeact-mSG,FSH_LEGACY_aang_fish1_24hpf_roi5,FSH_LEGACY_aang_fish1_24hpf_roi5,from imaging_slots_standard_from_legacy
aang,fish8_24hpf_roi5,mem-mito,FSH_LEGACY_aang_fish8_24hpf_roi5,FSH_LEGACY_aang_fish8_24hpf_roi5,from imaging_slots_standard_from_legacy
aang,fish4_24hpf_roi2,mem_mito,FSH_LEGACY_aang_fish4_24hpf_roi2,FSH_LEGACY_aang_fish4_24hpf_roi2,from imaging_slots_standard_from_legacy
