plate_code,slot_code,roi_code,roi_index,roi_name,roi_dir,date_imaged,notes
aang_20251020_mem_histone_mem_histone,fish3_72hpf_roi2,fish3_72hpf_roi2,4,fish3_72hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251020_mem-histone/fish3_72hpf_roi2,10/20/25,
aang_20250924_mem_mito_mem_mito,fish2_24hpf_roi1,fish2_24hpf_roi1,11,fish2_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish2_24hpf_roi1,9/24/25,
aang_20251107_mem_mito_mem_mito,fish6_24hpf_roi1,fish6_24hpf_roi1,10,fish6_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251107_mem-mito/fish6_24hpf_roi1,11/6/25,
aang_20250924_mem_mito_mem_mito,fish4_24hpf_roi1,fish4_24hpf_roi1,5,fish4_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250924_mem-mito/fish4_24hpf_roi1,9/8/25,
aang_20251001_mem_histone_mem_histone,fish2_24hpf_roi1,fish2_24hpf_roi1,12,fish2_24hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20251001_mem-histone/fish2_24hpf_roi1,9/8/25,
aang_20250905_lifeact_mSG_lifeact_mSG,fish2_72hpf_roi4,fish2_72hpf_roi4,1,fish2_72hpf_roi4,/clusterfs/vast/abcabc/Aang_Foundation/20250905_lifeact-mSG/fish2_72hpf_roi4,9/8/25,
aang_20251015_mem_histone_mem_histone,fish4_48hpf_roi2,fish4_48hpf_roi2,2,fish4_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251015_mem-histone/fish4_48hpf_roi2,9/17/25,
aang_20251015_mem_histone_mem_histone,fish3_48hpf_roi2,fish3_48hpf_roi2,7,fish3_48hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20251015_mem-histone/fish3_48hpf_roi2,10/15/25,
korra_20250618_skittlez_skittlez,fish1_roi1,fish1_roi1,7,fish1_roi1,/clusterfs/vast/abcabc/Korra_Foundation/20250618_skittlez/fish1_roi1,6/18/25,
aang_20251003_mem_tester_mem_tester,fish1_48hpf_xscan_roi4_spine_muscle_tail,fish1_48hpf_xscan_roi4_spine_muscle_tail,1,fish1_48hpf_xscan_roi4_spine_muscle_tail,/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi4_spine_muscle_tail,10/1/25,
korra_20251027_mem_histone_mem_histone,fish3_72hpf_roi4,fish3_72hpf_roi4,2,fish3_72hpf_roi4,/clusterfs/vast/abcabc/Korra_Foundation/20251027_mem-histone/fish3_72hpf_roi4,10/27/25,
aang_20250922_mem_mito_mem_mito,fish4_72hpf_roi1,fish4_72hpf_roi1,2,fish4_72hpf_roi1,/clusterfs/vast/abcabc/Aang_Foundation/20250922_mem-mito/fish4_72hpf_roi1,9/22/25,
aang_20250826_mem_actin_mem_actin,fish1_24hpf_roi2,fish1_24hpf_roi2,6,fish1_24hpf_roi2,/clusterfs/vast/abcabc/Aang_Foundation/20250826_mem_actin/fish1_24hpf_roi2,8/26/25,
