date_experiment,fish,roi_rel,roi_name,roi_tiffs,roi_dir,dataset,dataset_slug_raw,dataset_slug_norm,roi_path_date_yyyymmdd,experiment_folder,fish_folder,roi_folder,fish_number,fish_id,fish_age_token,fish_age_hpf,roi_index_token,roi_index,fish_nickname,roi_anatomy_tokens,roi_anatomy,dataset_slug,sheet_slug_norm,date_mount_yyyymmdd,Data location,ZF female genotype,ZF male genotype,additional plasmids injected,additional mRNAs injected,additonal proteins injected,additonal dye and chemicals,link_source,plate_date,mount_id_inferred,mount_id_source,plate_key,plate_id_filled,slot_id_filled,roi_index_within_slot,bruker_roi_id
20250513_skittles,fish8,roi1,roi1,48.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish8/roi1,korra,korra,korra,20250513,20250513_skittles,fish8,roi1,8.0,fish8,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,5,1,20250513-plate4-slot5-roi1
20250513_skittles,fish9,roi1,roi1,180.0,/clusterfs/vast/abcabc/Korra_Foundation/20250513_skittles/fish9/roi1,korra,korra,korra,20250513,20250513_skittles,fish9,roi1,9.0,fish9,,,roi1,1.0,,[],,20250513_skittles,,,X:\abcabc\Korra_Foundation\20250513_skittles(fish1-3),,,,phiC-NLS,,,date_match,20250513,2,inferred,20250513::20250513_skittles::2,4,6,1,20250513-plate4-slot6-roi1
20250522_skittlez,fish1,roi1,roi1,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi1,korra,korra,korra,20250522,20250522_skittlez,fish1,roi1,1.0,fish1,,,roi1,1.0,,[],,20250522_skittlez,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,,date_match,20250522,1,inferred,20250522::20250522_skittlez::1,5,1,1,20250522-plate5-slot1-roi1
20250522_skittlez,fish1,roi2,roi2,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish1/roi2,korra,korra,korra,20250522,20250522_skittlez,fish1,roi2,1.0,fish1,,,roi2,2.0,,[],,20250522_skittlez,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,,date_match,20250522,1,inferred,20250522::20250522_skittlez::1,5,1,2,20250522-plate5-slot1-roi2
20250522_skittlez,fish2,roi1,roi1,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi1,korra,korra,korra,20250522,20250522_skittlez,fish2,roi1,2.0,fish2,,,roi1,1.0,,[],,20250522_skittlez,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,,date_match,20250522,1,inferred,20250522::20250522_skittlez::1,5,2,1,20250522-plate5-slot2-roi1
20250522_skittlez,fish2,roi2,roi2,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish2/roi2,korra,korra,korra,20250522,20250522_skittlez,fish2,roi2,2.0,fish2,,,roi2,2.0,,[],,20250522_skittlez,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,,date_match,20250522,1,inferred,20250522::20250522_skittlez::1,5,2,2,20250522-plate5-slot2-roi2
20250522_skittlez,fish3,roi1,roi1,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi1,korra,korra,korra,20250522,20250522_skittlez,fish3,roi1,3.0,fish3,,,roi1,1.0,,[],,20250522_skittlez,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,,date_match,20250522,1,inferred,20250522::20250522_skittlez::1,5,3,1,20250522-plate5-slot3-roi1
20250522_skittlez,fish3,roi2,roi2,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi2,korra,korra,korra,20250522,20250522_skittlez,fish3,roi2,3.0,fish3,,,roi2,2.0,,[],,20250522_skittlez,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,,date_match,20250522,1,inferred,20250522::20250522_skittlez::1,5,3,2,20250522-plate5-slot3-roi2
20250522_skittlez,fish3,roi3,roi3,72.0,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish3/roi3,korra,korra,korra,20250522,20250522_skittlez,fish3,roi3,3.0,fish3,,,roi3,3.0,,[],,20250522_skittlez,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,,date_match,20250522,1,inferred,20250522::20250522_skittlez::1,5,3,3,20250522-plate5-slot3-roi3
20250522_skittlez,fish4,roi1,roi1,36.0,/clusterfs/vast/abcabc/Korra_Foundation/20250522_skittlez/fish4/roi1,korra,korra,korra,20250522,20250522_skittlez,fish4,roi1,4.0,fish4,,,roi1,1.0,,[],,20250522_skittlez,,,X:\abcabc\Korra_Foundation\20250522_skittlez,,,,,,,date_match,20250522,1,inferred,20250522::20250522_skittlez::1,5,4,1,20250522-plate5-slot4-roi1
