roi_dir,experiment_folder,dataset_slug,date_mount,Date imaged,Data location
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi3,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi3,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish7_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish7_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish8_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish8_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish9_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish9_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi1_brain,20251003_mem_tester,20251003_mem_tester,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi2_spine_muscle,20251003_mem_tester,20251003_mem_tester,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi3_spine_muscle_tail,20251003_mem_tester,20251003_mem_tester,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi4_spine_muscle_tail,20251003_mem_tester,20251003_mem_tester,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi5_spine_muscle_tail,20251003_mem_tester,20251003_mem_tester,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi6_spine_muscle_tail,20251003_mem_tester,20251003_mem_tester,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi7_spine_muscle_tail,20251003_mem_tester,20251003_mem_tester,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi1,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi2,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi3,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish1_24hpf_roi4,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish3_24hpf_roi1,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish3_24hpf_roi2,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish4_24hpf_roi1,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish4_24hpf_roi2,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish4_24hpf_roi3,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish6_24hpf_roi1,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251006_mem_histone/fish6_24hpf_roi2,20251006_mem_histone,20251006_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi1,20251007_mem_histone,20251007_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi2,20251007_mem_histone,20251007_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi2_test,20251007_mem_histone,20251007_mem_histone,,,
/clusterfs/vast/abcabc/Aang_Foundation/20251007_mem_histone/fish2_48hpf_roi3,20251007_mem_histone,20251007_mem_histone,,,
