clutch_code,legacy_clutch_key,date_born,parent_female_genotype_text,parent_male_genotype_text,treatment_rna_rna_base_code,treatment_plasmid_plasmid_base_code,roi_count,datasets
LCL-0350,20251204-plate2|slot2,,tdmScarlet3S2:H2B-tol2 (F1 of allele 324),ef1a:2xLynk:tdmSG(J) (F1 of allele 302),,,2,20251204_mem_histone
LCL-0351,20251205-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,4,20251205_mem-histone
LCL-0352,20251205-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,4,20251205_mem-histone
LCL-0353,20251208-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251208_mem
LCL-0354,20251208-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251208_mem
LCL-0355,20251208-plate1|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251208_mem
LCL-0356,20251208-plate1|slot4,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251208_mem
LCL-0357,20251208-plate2|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251208_mem-histone
LCL-0358,20251208-plate2|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251208_mem-histone
LCL-0359,20251208-plate2|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251208_mem-histone
LCL-0360,20251208-plate2|slot4,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251208_mem-histone
LCL-0361,20251209-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251209_mem-histone
LCL-0362,20251209-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251209_mem-histone
LCL-0363,20251209-plate1|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251209_mem-histone
LCL-0364,20251209-plate1|slot4,,ef1a:2xLynk:tdmSG(J) (F1 of allele 301),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251209_mem-histone
LCL-0365,20251210-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251210_mem-histone
LCL-0366,20251210-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251210_mem-histone
LCL-0367,20251210-plate1|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,4,20251210_mem-histone
LCL-0368,20251210-plate1|slot4,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251210_mem-histone
LCL-0369,20251211-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251211_mem-histone
LCL-0370,20251211-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,2,20251211_mem-histone
LCL-0371,20251211-plate1|slot3,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,1,20251211_mem-histone
LCL-0372,20251212-plate1|slot1,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251212_mem-histone
LCL-0373,20251212-plate1|slot2,,ef1a:2xLynk:tdmSG(J) (F1 of allele 302),tdmScarlet3S2:H2B-tol2 (F1 of allele 324),,,3,20251212_mem-histone
