roi_dir,bruker_roi_id,plate_date,plate_id_filled,slot_id_filled,roi_index_within_slot,dataset_slug,experiment_folder,fish_id,fish_number,fish_age_hpf,roi_anatomy,roi_tiffs,date_experiment,Date imaged,date_mount,genotype_base_codes,genotype_allele_codes,treatment_rna_rna_base_code,treatment_plasmid_plasmid_base_code,genotype_marker_fluor_codes,genotype_marker_tag_codes,genotype_marker_localizations,genotype_marker_fusion_labels,treatment_marker_fluor_codes,treatment_marker_tag_codes,treatment_marker_localizations,treatment_marker_fluor_loc_labels,all_unique_organelles,all_fluor_organelles,link_source,day_plate_num
/clusterfs/vast/abcabc/Aang_Foundation/20250805_mito_mem-halo/fish3_24hpf_roi2,20250805-plate2-slot3-roi2,20250805,70.0,3.0,2.0,20250805_mito_mem-halo,20250805_mito_mem-halo,fish3,3.0,24.0,,780,20250805_mito_mem-halo,2025-08-05,2025-08-05,,,MGCO-01,,,,,,mStayGold,2Xcox8A,mitochondria,mStayGold(mitochondria),mitochondria,mStayGold(mitochondria),sheet,2
/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1,20250808-plate1-slot1-roi1,20250808,71.0,1.0,1.0,20250808_mem_organelle,20250808_mem_organelle,fish1,1.0,24.0,,108,20250808_mem_organelle,2025-08-08,2025-08-08,,,MGCO-01|MGCO-15,,,,,,mStayGold,2Xcox8A|LAMP1,mitochondria|lysosome,mStayGold(mitochondria)|mStayGold(lysosome),"mitochondria,lysosome","mStayGold(mitochondria),mStayGold(lysosome)",sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1_1,20250808-plate1-slot1-roi3,20250808,71.0,1.0,3.0,20250808_mem_organelle,20250808_mem_organelle,fish1,1.0,24.0,,300,20250808_mem_organelle,2025-08-08,2025-08-08,,,MGCO-01|MGCO-15,,,,,,mStayGold,2Xcox8A|LAMP1,mitochondria|lysosome,mStayGold(mitochondria)|mStayGold(lysosome),"mitochondria,lysosome","mStayGold(mitochondria),mStayGold(lysosome)",sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi1_test,20250808-plate1-slot1-roi5,20250808,71.0,1.0,5.0,20250808_mem_organelle,20250808_mem_organelle,fish1,1.0,24.0,,6,20250808_mem_organelle,2025-08-08,2025-08-08,,,MGCO-01|MGCO-15,,,,,,mStayGold,2Xcox8A|LAMP1,mitochondria|lysosome,mStayGold(mitochondria)|mStayGold(lysosome),"mitochondria,lysosome","mStayGold(mitochondria),mStayGold(lysosome)",sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi2,20250808-plate1-slot1-roi7,20250808,71.0,1.0,7.0,20250808_mem_organelle,20250808_mem_organelle,fish1,1.0,24.0,,300,20250808_mem_organelle,2025-08-08,2025-08-08,,,MGCO-01|MGCO-15,,,,,,mStayGold,2Xcox8A|LAMP1,mitochondria|lysosome,mStayGold(mitochondria)|mStayGold(lysosome),"mitochondria,lysosome","mStayGold(mitochondria),mStayGold(lysosome)",sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish1_24hpf_mem-mchilada_lyso-mSG/roi3,20250808-plate1-slot1-roi10,20250808,71.0,1.0,10.0,20250808_mem_organelle,20250808_mem_organelle,fish1,1.0,24.0,,300,20250808_mem_organelle,2025-08-08,2025-08-08,,,MGCO-15|MGCO-01,,,,,,mStayGold,LAMP1|2Xcox8A,lysosome|mitochondria,mStayGold(lysosome)|mStayGold(mitochondria),"lysosome,mitochondria","mStayGold(lysosome),mStayGold(mitochondria)",sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish2_24hpf_mem-mchilada_lyso-mSG/roi1,20250808-plate1-slot2-roi1,20250808,71.0,2.0,1.0,20250808_mem_organelle,20250808_mem_organelle,fish2,2.0,24.0,,300,20250808_mem_organelle,2025-08-08,2025-08-08,,,MGCO-01|MGCO-15,,,,,,mStayGold,2Xcox8A|LAMP1,mitochondria|lysosome,mStayGold(mitochondria)|mStayGold(lysosome),"mitochondria,lysosome","mStayGold(mitochondria),mStayGold(lysosome)",sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish2_24hpf_mem-mchilada_lyso-mSG/roi2,20250808-plate1-slot2-roi3,20250808,71.0,2.0,3.0,20250808_mem_organelle,20250808_mem_organelle,fish2,2.0,24.0,,300,20250808_mem_organelle,2025-08-08,2025-08-08,,,MGCO-01|MGCO-15,,,,,,mStayGold,2Xcox8A|LAMP1,mitochondria|lysosome,mStayGold(mitochondria)|mStayGold(lysosome),"mitochondria,lysosome","mStayGold(mitochondria),mStayGold(lysosome)",sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish2_24hpf_mem-mchilada_lyso-mSG/roi3,20250808-plate1-slot2-roi5,20250808,71.0,2.0,5.0,20250808_mem_organelle,20250808_mem_organelle,fish2,2.0,24.0,,300,20250808_mem_organelle,2025-08-08,2025-08-08,,,MGCO-01|MGCO-15,,,,,,mStayGold,2Xcox8A|LAMP1,mitochondria|lysosome,mStayGold(mitochondria)|mStayGold(lysosome),"mitochondria,lysosome","mStayGold(mitochondria),mStayGold(lysosome)",sheet,1
/clusterfs/vast/abcabc/Aang_Foundation/20250808_mem_organelle/fish3_24hpf_mem-mchilada_mito-mSG/roi1,20250808-plate1-slot3-roi1,20250808,71.0,3.0,1.0,20250808_mem_organelle,20250808_mem_organelle,fish3,3.0,24.0,,300,20250808_mem_organelle,2025-08-08,2025-08-08,,,MGCO-01|MGCO-15,,,,,,mStayGold,2Xcox8A|LAMP1,mitochondria|lysosome,mStayGold(mitochondria)|mStayGold(lysosome),"mitochondria,lysosome","mStayGold(mitochondria),mStayGold(lysosome)",sheet,1
