roi_dir,experiment_folder,dataset_slug_norm,roi_path_date_yyyymmdd
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish3_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish3_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish5_24hpf_roi3,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish6_24hpf_roi3,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish7_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish7_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish8_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish8_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish9_24hpf_roi1,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251002_mem_mito/fish9_24hpf_roi2,20251002_mem_mito,20251002_mem_mito,20251002
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi1_brain,20251003_mem_tester,20251003_mem_tester,20251003
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi2_spine_muscle,20251003_mem_tester,20251003_mem_tester,20251003
/clusterfs/vast/abcabc/Aang_Foundation/20251003_mem_tester/fish1_48hpf_xscan_roi3_spine_muscle_tail,20251003_mem_tester,20251003_mem_tester,20251003
