legacy_clutch_id,legacy_pair_id,dataset,date_mount,clutch_code,created_at
d73312ad-2745-466c-925b-953170f34430,8c15816f-0a64-4bf9-909c-7306330a969c,korra,5/28/25,LEGACY:korra:NaNxNaN:clutch:5/28/25,2025-11-15 03:08:31.328432+00
d771b65e-4469-40c2-8388-2b161b4791a2,5289a823-30b2-4758-a70e-40cf8e449d80,aang,8/26/25,LEGACY:aang:casper/rnfxmem:tdmChilada:clutch:8/26/25,2025-11-15 03:08:31.328432+00
d9a8b012-d0c3-4e43-b201-7838646fd423,069af4a2-47a4-4f77-b395-012410322af2,korra,6/6/25,LEGACY:korra:Jim_(F2_of_allele_316)xBen_(F2_of_allele_310):clutch:6/6/25,2025-11-15 03:08:31.328432+00
d9d4ed60-96b5-411d-b0e7-944f02692d08,5289a823-30b2-4758-a70e-40cf8e449d80,aang,9/3/25,LEGACY:aang:casper/rnfxmem:tdmChilada:clutch:9/3/25,2025-11-15 03:08:31.328432+00
dc9fda7d-683a-40e8-8079-38ac4235eca5,fa7ff40e-0306-43e3-85ad-f20e3aec1c89,aang,NaN,LEGACY:aang:NaNxNaN:clutch:NaN,2025-11-15 03:08:31.328432+00
dd6b71eb-dcf5-448c-8391-d2f5f896a259,be9ebd22-64f9-42f1-8a62-66e81d348ce0,aang,10/1/25,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/1/25,2025-11-15 03:08:31.328432+00
e15ce215-b961-43b3-a26a-a1109a06ca38,21790f58-fdca-4657-a113-754eac017bb8,aang,10/14/25,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf:clutch:10/14/25,2025-11-15 03:08:31.328432+00
e7812874-fa3d-47d9-be35-6c1e2384a206,be9ebd22-64f9-42f1-8a62-66e81d348ce0,aang,10/20/25,LEGACY:aang:ef1a:2xLynk:tdmSG(J)_(F1_of_allextdmScarlet3S2:H2B-tol2_(F1_of_al:clutch:10/20/25,2025-11-15 03:08:31.328432+00
e81a173c-498a-4531-99b1-69e8ec6eaddc,b754a1dc-9cd4-4078-88f1-79d2c1276405,korra,10/7/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F1_of_allexef1a:2xLynk:tdmSG(J)_(F1_of_alle:clutch:10/7/25,2025-11-15 03:08:31.328432+00
ebd9c795-7336-413a-9fcb-eaabf827c2f2,63fe6616-f7ad-48e6-863d-33510afd9be8,korra,6/3/25,LEGACY:korra:Liam_(F2_of_allele_321)xChris_(F1_of_allele_317):clutch:6/3/25,2025-11-15 03:08:31.328432+00
ef02923d-8388-4ce7-a90c-2bb7e9b0716a,736e6a61-5c78-4c67-9546-f799ce548ec7,korra,4/29/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:4/29/25,2025-11-15 03:08:31.328432+00
f2d37dcd-fe24-4267-9a20-afe27983679c,190dcab1-5ce7-4832-9997-2d3145571722,korra,11/5/25,LEGACY:korra:casperxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:11/5/25,2025-11-15 03:08:31.328432+00
f53e3b80-4899-4f40-aee1-233a2410f000,4fd0f90e-cc6d-4975-8fac-877e84047e82,korra,6/19/25,LEGACY:korra:Dennis_(F2_of_allele_318)xAbe_(F2_of_allele_309):clutch:6/19/25,2025-11-15 03:08:31.328432+00
fb650910-9531-4e18-9414-538d359a09d0,21790f58-fdca-4657-a113-754eac017bb8,aang,10/16/25,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf:clutch:10/16/25,2025-11-15 03:08:31.328432+00
fc19e1a4-61e8-4563-b3a5-d918ccb13790,2c0b5ff1-1c2c-4f7b-8d19-2ff90638270e,aang,11/5/25,LEGACY:aang:casperxef1a:2xLynk:tdmChilada_(F1_of_al:clutch:11/5/25,2025-11-15 03:08:31.328432+00
fcac0f9f-312e-4b10-bf30-110b75666ce9,23f2a174-0828-4b90-af39-d17dbc36b3fe,aang,9/25/25,LEGACY:aang:casper/rnfxfrom_Swinburne_lab_-_tank_ID_344:clutch:9/25/25,2025-11-15 03:08:31.328432+00
feb5615a-8f7e-41a5-ab00-67158af4b7c6,3917aed2-f257-45d4-a287-f1e44e953efd,korra,5/23/25,LEGACY:korra:ef1a:2xLynk:tdmSG(J)_(F2_of_allexef1a:2xLynk:tdmSG(J)_(F2_of_alle:clutch:5/23/25,2025-11-15 03:08:31.328432+00
ff1b5fa4-9fe8-4cc1-bd0a-68dcd80d443a,21790f58-fdca-4657-a113-754eac017bb8,aang,10/21/25,LEGACY:aang:ef1a:2xLynk:tdmChilada_(F1_of_alxcasper/rnf:clutch:10/21/25,2025-11-15 03:08:31.328432+00
