roi_path	n_tiffs
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish3_48hpf_roi4	356
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi1	302
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi2	302
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi3	356
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi4	248
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi5	464
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish4_48hpf_roi6	464
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi1	356
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi2	194
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi3	194
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi4	464
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish5_48hpf_roi5	248
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish6_48hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250917_mem-mito/fish6_48hpf_roi2	410
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi2	410
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi3	410
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi4	302
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi5	248
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish1_72hpf_roi6	464
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish2_72hpf_roi1	410
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish2_72hpf_roi2	410
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish2_72hpf_roi3	302
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish2_72hpf_roi4	356
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi1	464
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi10	464
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi11	464
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi2	248
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi3	356
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi4	248
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi5	464
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi6	302
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi7	464
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi8	410
/clusterfs/vast/abcabc/Aang_Foundation/20250918_mem-mito/fish3_72hpf_roi9	464
